Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),310499187506,255740299974,230343536592
매출원가,282658925676,237667971735,215964618353
매출총이익,27840261830,18072328239,14378918239
판매비와관리비,21394293253,20562346182,21291153925
영업이익(손실),6445968577,"(2,490,017,943)","(6,912,235,686)"
기타영업외수익,2825583961,5656079075,2265561205
기타영업외비용,1116387155,700355493,2318126105
금융수익,6642787987,3616237607,5028260666
금융비용,2429348207,3011770073,1526111822
관계기업투자손익,"(17,362,922,824)",27376394584,53514440565
법인세비용차감전순이익(손실),"(4,994,317,661)",30446567757,50051788823
법인세비용(수익),"(4,730,577,408)",2517408669,8363197142
당기순이익(손실),"(263,740,253)",27929159088,41688591681
기타포괄손익,"(3,204,848,116)",4860693715,4697617856
당기손익으로 재분류되지 않는항목(세후기타포괄손익),"(5,189,563,093)",3403341791,2205525060
지분법이익잉여금(세후기타포괄손익),"(7,794,662)","(518,584,237)",892347844
확정급여제도의 재측정손익(세후기타포괄손익),"(5,181,768,431)",3921926028,1313177216
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),1984714977,1457351924,2492092796
지분법자본변동(세후기타포괄손익),1984714977,1482910686,2466534034
매도가능금융자산평가손익(세후기타포괄손익),,"(25,558,762)",25558762
당기총포괄이익(손실),"(3,468,588,369)",32789852803,46386209537
당기순이익의 귀속,"(263,740,253)",27929159088,41688591681
지배기업 소유주 지분,"(263,740,253)",27929159088,41688591681
비지배지분,,0,0
총포괄손익의 귀속,"(3,468,588,369)",32789852803,46386209537
지배기업 소유주 지분,"(3,468,588,369)",32789852803,46386209537
비지배지분,,0,0
주당이익,,,
보통주 기본 및 희석주당이익 (단위 : 원),(2),238,377
구형우선주 기본 및 희석주당이익 (단위 : 원),18,236,397
