Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출,5862608,5851406,5228352
매출원가,"(3,054,393)","(2,891,166)","(2,350,180)"
매출총이익,2808215,2960240,2878172
판매비와관리비,"(1,640,879)","(1,692,590)","(1,539,789)"
영업이익,1167336,1267650,1338383
기타이익,201551,299644,188398
기타비용,"(194,022)","(230,629)","(144,991)"
금융수익,138936,131413,78753
금융원가,"(67,814)","(87,540)","(31,901)"
지분법적용투자자산의 당기순손익에 대한 지분 증감,9610,29370,10911
순화폐성자산에서 발생하는 이익,"(7,215)",19611,0
법인세차감전순이익,1248382,1429519,1439553
법인세비용,"(318,836)","(415,602)","(415,440)"
계속영업당기순이익,929546,1013917,1024113
중단영업손실,"(7,185)","(8,590)","(52,354)"
당기순이익,922361,1005327,971759
법인세차감후기타포괄손익,"(21,542)",77246,89479
후속적으로 당기손익으로 재분류되지 않는 항목,"(12,394)",70633,54412
순확정급여부채의 재측정요소,"(31,954)",64777,42562
기타포괄손익-공정가치금융자산 평가손익,19629,5818,11843
지분법자본변동,(69),38,7
후속적으로 당기손익으로 재분류될 수 있는 항목,"(9,148)",6613,35067
해외사업환산차이,"(8,755)",6757,35086
지분법자본변동,(393),(144),(19)
당기총포괄이익,900819,1082573,1061238
당기순이익의 귀속,,,
지배기업소유주지분,902662,1015785,977259
계속영업이익,909847,1024375,1029613
중단영업손실,"(7,185)","(8,590)","(52,354)"
비지배지분,19699,"(10,458)","(5,500)"
계속영업이익(손실),19699,"(10,458)","(5,500)"
중단영업이익,0,0,0
당기총포괄이익의 귀속,,,
지배기업소유주지분,881976,1089714,1065883
계속영업이익,889677,1099832,1117672
중단영업손실,"(7,701)","(10,118)","(51,789)"
비지배지분,18843,"(7,141)","(4,645)"
계속영업손실,18843,"(7,141)","(4,645)"
중단영업이익,0,0,0
주당손익,,,
기본및희석주당손익 (단위 : 원),7843,8489,7898
계속영업 기본및희석주당이익 (단위 : 원),7905,8561,8321
중단영업 기본및희석주당손실 (단위 : 원),(62),(72),(423)
