Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액 (주3),33132821374,37989588330,33948864785
매출원가 (주25),"(31,293,287,571)","(36,421,950,442)","(32,814,145,555)"
매출총이익,1839533803,1567637888,1134719230
"판매비와관리비 (주25,26)","(676,421,768)","(665,130,879)","(549,333,423)"
영업이익(손실) (주3),1163112035,902507009,585385807
관계기업투자이익 (주9),111768679,77679876,69361497
관계기업투자손실 (주9),"(20,461,439)","(2,767,249)","(9,263,819)"
"금융수익 (주27,31)",1282275116,2405334622,1243727111
"금융비용 (주27,31)","(1,572,100,317)","(2,572,002,827)","(1,319,081,694)"
기타영업외수익 (주28),21416651,19002305,86047547
기타영업외비용 (주28),"(71,388,514)","(87,607,152)","(167,476,083)"
법인세비용차감전순이익(손실),914622211,742146584,488700366
법인세비용 (주29),"(234,202,908)","(137,234,204)","(132,212,404)"
당기순이익(손실),680419303,604912380,356487962
기타포괄손익,50346819,"(6,690,339)",51965768
당기손익으로 재분류될 수 있는 항목,42500259,6501733,51555289
"지분법자본변동 (주9,23,29)",13807509,15572510,13628538
"부의지분법자본변동 (주9,23,29)",263229,524549,2869208
"해외사업장환산외환차이 (주23,29)",29419491,"(10,414,437)",34944955
"파생상품평가손익 (주20,23)","(989,970)",819111,112588
당기손익으로 재분류되지 않는 항목,7846560,"(13,192,072)",410479
"기타포괄손익-공정가치 측정 금융자산 평가손익 (주23,29)","(4,348,500)",2093152,27716
"지분법자본변동 (주9,23,29)",21583564,"(3,168,133)","(8,511,682)"
"확정급여제도의 재측정손익(세후기타포괄손익) (주17,29)","(17,242,570)",17759863,8913085
"해외사업장환산외환차이 (주23,29)",7854066,"(29,876,954)","(18,640)"
총포괄손익,730766122,598222041,408453730
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),673885685,589749886,360789119
비지배지분에 귀속되는 당기순이익(손실),6533618,15162494,"(4,301,157)"
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",716975597,612486614,412758252
"포괄손익, 비지배지분",13790525,"(14,264,573)","(4,304,522)"
주당이익,,,
기본주당이익(손실) (단위 : 원) (주30),3939,4780,2924
계속영업기본주당이익(손실) (단위 : 원),3939,4780,2924
희석주당이익(손실) (단위 : 원) (주30),3939,4780,2924
계속영업희석주당이익(손실) (단위 : 원),3939,4780,2924
