Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,24723776,33572854,24983530
매출원가,19006222,24227456,19855690
매출총이익,5717554,9345398,5127840
판매비와관리비,8438963,10486814,11885719
영업이익(손실),"(2,721,409)","(1,141,416)","(6,757,879)"
기타수익,162554,78040,14210
기타비용,932536,390783,0
금융수익,301167,677860,63526
금융비용,178656,221838,257393
지분법이익(손실),10863,191366,771067
법인세비용차감전순이익(손실),"(3,358,017)","(806,771)","(6,166,469)"
법인세비용(수익),7709,4614,3882
당기순이익(손실),"(3,365,726)","(811,385)","(6,170,351)"
당기순이익(손실)의 귀속,,,
지배기업 소유주 지분,"(3,284,999)","(811,385)","(6,170,351)"
비지배지분,"(80,727)",0,0
기타포괄손익,"(50,857)","(173,455)","(189,057)"
당기손익으로 재분류되는 항목,"(50,857)","(173,455)","(189,057)"
지분법자본변동,"(38,699)","(173,455)","(189,057)"
해외사업장환산외화차이,"(12,158)",0,0
총포괄손익,"(3,416,583)","(984,840)","(6,359,408)"
총포괄손익의 귀속,,,
지배기업 소유주 지분,"(3,332,776)","(984,840)","(6,359,408)"
비지배지분,"(83,807)",0,0
주당손익,,,
기본주당이익(손실) (단위 : USD),(0.17),(0.04),(0.32)
희석주당이익(손실) (단위 : USD),(0.17),(0.04),(0.32)
