Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,4207452895,5014123629.0,3572433182.0
매출원가,1714821302,1676674976.0,1232154240.0
매출총이익,2492631593,3337448653.0,2340278942.0
판매비와관리비,2189161830,3016519919.0,2075913754.0
영업이익(손실),303469763,320928734.0,264365188.0
기타수익,163065691,95603220.0,58836327.0
기타비용,395276976,140709268.0,32680426.0
관계기업손익,25873699,17533783.0,39039292.0
금융수익,60742540,44314599.0,31305964.0
금융비용,116252458,90959503.0,44005078.0
법인세차감전순이익,41622259,246711565.0,316861267.0
법인세비용,81398465,60685189.0,83472342.0
당기순이익(손실),"(39,776,206)",186026376.0,233388925.0
당기순이익(손실)의 귀속,,,
지배기업소유주지분순이익,"(79,770,106)",144080692.0,189377183.0
비지배지분순이익,39993900,41945684.0,44011742.0
주당이익,,,
기본주당순이익 (단위 : 원),"(3,650)",6593.0,8652.0
희석주당순이익 (단위 : 원),"(3,650)",6593.0,8652.0
