Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출및지분법손익,7445336.0,7185987.0,6859010.0
제품및상품매출,1022195.0,1005453.0,817788.0
용역매출,2507360.0,2238380.0,1840648.0
건설형계약매출,2421518.0,2040906.0,1714516.0
지분법손익,899203.0,1302911.0,1947269.0
기타매출,595060.0,598337.0,538789.0
매출원가,5438970.0,4853189.0,4065447.0
매출총이익,2006366.0,2332798.0,2793563.0
판매비와관리비,417353.0,391418.0,333459.0
영업이익(손실),1589013.0,1941380.0,2460104.0
금융수익,128197.0,125305.0,43819.0
금융비용,57963.0,28021.0,27157.0
기타영업외수익,49540.0,89116.0,151629.0
기타영업외비용,90419.0,82162.0,237410.0
법인세비용차감전계속영업이익,1618368.0,2045618.0,2390985.0
계속영업법인세비용,204110.0,527083.0,209251.0
계속영업이익(손실),1414258.0,1518535.0,2181734.0
중단영업이익(손실),,597215.0,502240.0
당기순이익,1414258.0,2115750.0,2683974.0
당기순이익(손실)의 귀속,,,
지배기업의 소유주,1261219.0,1979569.0,2565453.0
비지배지분,153039.0,136181.0,118521.0
주당순이익,,,
계속영업과 중단영업,,,
보통주 기본/희석주당순이익 (단위 : 원),8032.0,12422.0,15504.0
구형우선주 기본/희석주당순이익 (단위 : 원),8082.0,12472.0,15554.0
계속영업,,,
보통주 기본/희석주당순이익 (단위 : 원),8032.0,8674.0,12469.0
구형우선주 기본/희석주당순이익 (단위 : 원),8082.0,8724.0,12519.0
