Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),1134618152654.0,1024435467138,927613739033.0
재화의 판매로 인한 수익(매출액),1134618152654.0,1024435467138,927613739033.0
매출원가,995705858617.0,898701900707,826936885597.0
재화의 판매로 인한 수익(매출액)에 대한 매출원가,995705858617.0,898701900707,826936885597.0
매출총이익,138912294037.0,125733566431,100676853436.0
판매비와관리비,90619000120.0,102861345440,94092831238.0
일반판매비와관리비,89626198647.0,104279722683,93841858838.0
"대손상각비(대손충당금환입), 판관비",992801473.0,"(1,418,377,243)",250972400.0
영업이익(손실),48293293917.0,22872220991,6584022198.0
금융수익,17347005402.0,23043953575,20683554227.0
유효이자율법에 따른 이자수익,6674503105.0,3536810239,2290845130.0
기타금융수익,10672502297.0,19507143336,18392709097.0
기타수익,9142875526.0,4856102836,25450947267.0
기타이익,7779127256.0,7037857500,5037125658.0
지분법이익,7775470316.0,6233913040,5037125658.0
관계기업/공동기업투자처분이익,3656940.0,803944460,0.0
금융원가,11113123535.0,14814659806,5917843183.0
기타비용,1529215096.0,2126815743,2432926077.0
기타손실,597021998.0,427925825,515781546.0
지분법손실,276713419.0,427925825,515781546.0
관계기업/공동기업투자처분손실,320308579.0,0,0.0
법인세비용차감전순이익(손실),69322941472.0,40440733528,48889098544.0
법인세비용(수익),7817490063.0,12179448921,11308949987.0
당기순이익(손실),61505451409.0,28261284607,37580148557.0
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),61505451409.0,28261284607,37580148557.0
비지배지분에 귀속되는 당기순이익(손실),0.0,0,0.0
주당이익,,,
기본주당이익(손실) (단위 : 원),3011.0,1376,1830.0
