Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),27071406964,33238398440,36785321279
매출원가,36186863790,35831784722,38881704585
매출총이익,"(9,115,456,826)","(2,593,386,282)","(2,096,383,306)"
판매비와관리비,8166171584,7899117775,8930686619
영업이익(손실),"(17,281,628,410)","(10,492,504,057)","(11,027,069,925)"
기타이익,1218005026,1854874987,1597255175
기타손실,18862673837,2772853723,707394550
금융수익,740628019,1288987440,820439613
금융원가,1983309861,4403743448,2526400614
법인세비용차감전순이익(손실),"(36,168,979,063)","(14,525,238,801)","(11,843,170,301)"
법인세비용(수익),"(7,425,636,642)",800803796,2632275266
당기순이익(손실),"(43,594,615,705)","(13,724,435,005)","(9,210,895,035)"
기타포괄손익,735439060,8758091425,401997696
당기손익으로 재분류되지 않는항목(세후기타포괄손익),"(247,688,160)",8649725335,107349694
확정급여제도의 재측정손익(세후기타포괄손익),"(247,688,160)",993526175,107349694
자산재평가손익(세후기타포괄손익),,7656199160,
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),983127220,108366090,294648002
해외사업장환산외환차이(세후기타포괄손익),983127220,108366090,294648002
총포괄손익,"(42,859,176,645)","(4,966,343,580)","(8,808,897,339)"
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),"(43,532,136,865)","(13,703,557,328)","(9,188,355,595)"
비지배지분에 귀속되는 당기순이익(손실),"(62,478,840)","(20,877,677)","(22,539,440)"
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분","(42,856,183,077)","(4,963,376,920)","(8,788,482,351)"
"포괄손익, 비지배지분","(2,993,568)","(2,966,660)","(20,414,988)"
주당이익,,,
기본주당이익(손실) (단위 : 원),"(3,177.00)","(1,280.00)",(944.00)
희석주당이익(손실) (단위 : 원),"(3,177.00)","(1,280.00)",(944.00)
