Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.05.01~2021.12.31
매출액,228946023204,218237744878,90904348393
매출원가,153377033481,148814613887,64977806317
매출총이익,75568989723,69423130991,25926542076
판매비와관리비,33788178048,28002584569,12049626936
영업이익,41780811675,41420546422,13876915140
기타수익,1146454641,696603145,189923286
기타비용,899398886,942228463,75684494
금융수익,412984455,288858331,213400522
금융원가,1947737710,1062951678,440857953
법인세비용차감전순이익,40493114175,40400827757,13763696501
법인세비용(수익),6946646919,8037932117,2277522048
당기순이익,33546467256,32362895640,11486174453
기타포괄손익,"(1,865,829,371)","(22,912,899)","(373,562,678)"
후속적으로 당기손익으로 재분류 되는 항목,,,
해외사업환산손익,1082677,"(17,073,763)",
후속적으로 당기손익으로 재분류 되지 않는 항목,,,
순확정급여의 재측정요소,"(1,866,912,048)","(5,839,136)","(373,562,678)"
총포괄이익,31680637885,32339982741,11112611775
주당이익,,,
기본주당이익 (단위 : 원),2201,2116,751
희석주당이익 (단위 : 원),2201,2116,751
