Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,1345816746,1096309421,1131485066.0
현금및현금성자산,387608846,183397561,361877199.0
단기금융상품,72777313,89184076,61657015.0
당기손익-공정가치측정금융자산,124672215,141988799,119034798.0
만기보유금융자산,207065,140595,3795655.0
매출채권,327105981,284640223,256870132.0
계약자산,290966203,253231423,209068101.0
기타채권,15065078,5281998,9411551.0
파생금융자산,865190,2040662,680878.0
재고자산,73555092,76048251,60560980.0
기타금융자산,22703533,26820196,16763511.0
기타유동자산,28562995,32797055,28856242.0
당기법인세자산,1727235,738582,2909004.0
비유동자산,2189616633,1918161642,1855908664.0
장기금융상품,801528,18500,3600038.0
당기손익-공정가치측정금융자산,265942370,201932326,334398186.0
기타포괄손익-공정가치측정금융자산,1026900,0,0.0
만기보유금융자산,89735838,4740453,2157181.0
관계기업및공동기업투자,96239250,197614120,159600524.0
투자부동산,205603241,231364558,188231959.0
유형자산,1126437466,1068303699,1008343258.0
무형자산,269622818,92025544,72820816.0
장기매출채권,2734,0,0.0
장기기타채권,5100000,0,0.0
기타금융자산,48010728,27602626,26607835.0
기타비유동자산,70395970,92928912,58802928.0
이연법인세자산,8975282,990326,1345939.0
파생금융자산,1722508,640578,0.0
자산총계,3535433379,3014471063,2987393730.0
부채,,,
유동부채,1333818957,1222898678,1082405519.0
매입채무,210051803,228120949,207800074.0
기타채무,201237379,156953102,182391325.0
차입금및사채,460960907,398847547,176410238.0
파생금융부채,1238195,1248970,1342467.0
선수금,23117041,127809499,243463587.0
계약부채,218781723,165036494,146518946.0
충당부채,55775069,41147037,43128003.0
기타금융부채,10497725,6885476,5510561.0
기타유동부채,75981456,64112293,62040281.0
장기종업원급여부채,194612,140400,0.0
당기법인세부채,75983047,32596911,13800037.0
비유동부채,830047697,624820361,768786054.0
기타채무,154965994,177337927,166687522.0
기타비유동부채,89026903,98842938,91113684.0
차입금및사채,456838726,281177461,424764308.0
기타금융부채,63272525,12196570,21393456.0
충당부채,98237,0,728000.0
순확정급여부채,16508218,14379338,16299454.0
장기종업원급여부채,12733507,10113294,10626862.0
이연법인세부채,36603587,30770566,37172768.0
파생금융부채,0,2267,0.0
부채총계,2163866654,1847719039,1851191573.0
자본,,,
지배기업의 소유지분,1285987974,1153374614,1121823300.0
자본금,212235955,212235955,212235955.0
연결자본잉여금,573726176,570436650,569075391.0
연결기타자본구성요소,"(128,794,846)","(32,014,734)",0.0
연결기타포괄손익누계액,6372971,8120278,8844896.0
연결이익잉여금,622447718,394596465,331667058.0
비지배지분,85578751,13377410,14378857.0
자본총계,1371566725,1166752024,1136202157.0
자본과부채총계,3535433379,3014471063,2987393730.0
