Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,75939360,75943773,82517104.0
매출원가,29705652,25384979,24546625.0
매출총이익,46233708,50558794,57970479.0
판매비와관리비,26998396,27848006,25903087.0
영업이익(손실),19235312,22710788,32067392.0
기타수익,250162,370589,242222.0
기타비용,1611321,119780,9083.0
금융수익,2887724,813191,575564.0
금융비용,981563,370262,728797.0
법인세비용차감전순이익(손실),19780314,23404526,32147298.0
법인세비용(수익),3580016,4153847,5609650.0
당기순이익(손실),16200298,19250679,26537648.0
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),16895229,20019348,26519869.0
비지배지분에 귀속되는 당기순이익(손실),"(694,931)","(768,669)",17779.0
기타포괄손익,464814,"(1,760,023)",593977.0
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),464814,"(1,760,023)",593977.0
해외사업장환산외환차이(세후기타포괄손익),464814,"(1,760,023)",593977.0
총포괄손익,16665112,17490656,27131625.0
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",17392527,18383771,26537648.0
"포괄손익, 비지배지분","(727,415)","(893,115)",593977.0
주당이익,,,
기본주당이익(손실) (단위 : USD),1.36,1.60,2.0
희석주당이익(손실) (단위 : USD),1.35,1.60,1.97
