Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,67580805,71829456,94879908
현금및현금성자산,28659251,61447893,53729256
단기금융상품,23577117,3116361,30990000
매출채권 및 기타채권,7089127,5689208,7260786
기타유동금융자산,2843985,17538,0
기타유동자산,4776261,1555629,1501958
당기법인세자산,15110,2827,1397908
재고자산,619954,0,0
비유동자산,61244453,25592249,16766074
유형자산,5022075,2222905,3489486
무형자산,44825168,16307765,6472715
이연법인세자산,0,13288,43
기타비유동금융자산,10567182,6728568,5724092
기타비유동자산,830028,319723,1079738
자산총계,128825258,97421705,111645982
부채,,,
유동부채,8674215,6397657,8399221
매입채무 및 기타채무,4135094,3951374,5771275
단기차입금,94220,334412,507862
기타유동부채,3453719,844506,809815
당기법인세부채,418413,155060,96193
유동리스부채,496347,1112305,1214076
유동충당부채,76422,0,0
비유동부채,1490105,458427,1389312
이연법인세부채,463957,135818,219673
기타비유동부채,346493,195233,0
비유동리스부채,679655,127376,1169639
부채총계,10164320,6856084,9788533
자본,,,
지배기업의 소유주에게 귀속되는 자본,116226061,88860325,101086947
자본금,54986540,54986540,54986540
기타자본항목,"(16,721,370)","(28,056,552)","(17,967,959)"
이익잉여금(결손금),77960891,61930337,64068366
비지배지분,2434877,1705296,770502
자본총계,118660938,90565621,101857449
자본과부채총계,128825258,97421705,111645982
