Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),369505555858,456725871196,929000929909
매출원가,227262753955,217114929809,358717802802
매출총이익,142242801903,239610941387,570283127107
판매비와관리비,154230566675,124597323544,96063270783
영업이익(손실),"(11,987,764,772)",115013617843,474219856324
기타이익,5888949026,1701502687,5158809854
기타손실,5884492903,6147692870,2849001486
금융수익,90207207574,116609193843,26241023313
금융원가,70896671544,85443439049,31642507480
법인세비용차감전순이익(손실),7327227381,141733182454,471128180525
법인세비용(수익),"(14,990,491,856)",19281232523,115988903686
당기순이익(손실),22317719237,122451949931,355139276839
기타포괄손익,"(61,137,419,773)",5904988241,"(1,813,402,626)"
당기손익으로 재분류되는 세후기타포괄손익,,,
현금흐름위험회피손익(세후기타포괄손익),"(265,467,926)",473256333,1256961127
해외사업장환산외환차이(세후기타포괄손익),130206361,"(188,670,045)",0
당기손익으로 재분류되지 않는항목(세후기타포괄손익),,,
지분상품에 대한 투자자산의 세후기타포괄손익,"(54,727,476,830)",0,0
"세후기타포괄손익, 확정급여제도의 재측정손익 합계","(6,274,681,378)",5620401953,"(3,070,363,753)"
총포괄손익,"(38,819,700,536)",128356938172,353325874213
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),22317719237,122451949931,355139276839
비지배지분에 귀속되는 당기순이익(손실),0,0,0
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분","(38,819,700,536)",128356938172,353325874213
"포괄손익, 비지배지분",0,0,0
주당이익,,,
기본주당이익(손실) (단위 : 원),291,1596,4844
희석주당이익(손실) (단위 : 원),290,1590,4810
