Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31
수익(매출액),12845576073,22835113396
매출원가,8727852604,13565319063
매출총이익,4117723469,9269794333
판매비와관리비,2647344323,2564674123
영업이익(손실),1470379146,6705120210
기타이익,32123840,64358760
기타손실,58288505,24050153
금융수익,1041312035,375299229
법인세비용차감전순이익(손실),2485526516,7120728046
법인세비용(수익),276375735,1250634336
당기순이익(손실),2209150781,5870093710
기타포괄손익,"(765,715)","(1,184,674)"
총포괄손익,2208385066,5868909036
주당이익,,
기본주당이익(손실) (단위 : 원),172.0,489.0
희석주당이익(손실) (단위 : 원),172.0,489.0
