Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,1833666781,1695856233,1471052292
현금및현금성자산,482644959,559531532,140294947
단기금융상품,299680880,190000000,575070000
매출채권,764634316,672124114,548666307
미청구공사,59208316,85559849,55665814
기타채권,45634393,61871018,38334899
기타유동자산,171995362,115986801,104697624
재고자산,4835690,7758800,3378636
당기법인세자산,5032865,3024119,4944065
비유동자산,1009390384,923580094,875070552
유형자산,112968293,109558024,94888271
사용권자산,142345921,90721217,107458478
무형자산,545943344,566426661,567592232
관계기업및공동기업투자자산,34994220,31497440,24088441
순확정급여자산,83974942,54383118,28834273
기타비유동채권,3013709,372180,776148
기타금융자산,6307595,4998762,3200388
기타비유동자산,58704354,41433790,24324108
보증금,21138006,24188902,23908213
자산 총계,2843057165,2619436327,2346122844
부채,,,
유동부채,922946477,883697780,721374123
매입채무,311970495,321408734,304129410
초과청구공사,142643793,100396191,103269022
기타채무,230464291,214314201,161012558
기타유동부채,173970013,154004091,103959577
당기법인세부채,17131298,20646505,8436538
리스부채,41488736,38169221,37030446
충당부채,5277851,4430214,3112268
단기차입금,,341508,424304
유동성사채,,29987115,
비유동부채,327798205,245357721,248927367
장기성매입채무,4039295,4538395,682106
장기성미지급금,386211,933631,1102933
기타장기급여채무,7556588,6034426,6538848
기타비유동금융부채,,594537,619940
기타비유동부채,122119780,77063005,41494490
비유동리스부채,107208646,58558215,76906440
비유동충당부채,10981189,11903657,12141976
사채,49941602,49898392,79802296
이연법인세부채,25564894,35833463,29328673
장기차입금,,,309665
부채 총계,1250744682,1129055501,970301490
자본,,,
지배기업의 소유지분,1579928602,1478769866,1367706113
자본금,13711991,13711991,13711991
자본잉여금,773423576,773423576,773423576
자본조정,"(102,665)","(102,665)","(102,665)"
기타포괄손익누계액,3856795,"(489,643)","(1,365,523)"
이익잉여금,789038905,692226607,582038734
비지배지분,12383881,11610960,8115242
자본 총계,1592312483,1490380826,1375821355
부채와 자본 총계,2843057165,2619436327,2346122845
