Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,3065015134,2754508003,2070382112
매출원가,2725797447,2454717454,1841144193
매출총이익,339217687,299790549,229237919
판매비와관리비,157804114,157428355,133131642
영업이익,181413573,142362194,96106277
금융수익,28024928,17702421,5592024
금융원가,6067901,6008904,5297953
기타수익,17609091,15205124,13565330
기타손실,34451438,12861467,11964635
지분법손실,"(4,791,446)","(1,612,823)","(679,835)"
법인세비용차감전순이익,181736807,154786545,97321208
법인세비용,41424180,38616532,25952995
당기순이익,140312627,116170013,71368213
당기순이익(손실)의 귀속,,,
지배기업소유주지분,137764302,113918532,69811094
비지배지분,2548325,2251481,1557119
기타포괄손익,"(5,093,403)",17585639,13648061
후속적으로 당기손익으로 재분류되는 항목,,,
지분법자본변동,963912,1039702,1373618
해외사업장환산,3632336,1080415,4215904
후속적으로 당기손익으로 재분류되지 않는 항목,,,
확정급여제도의 재측정요소,"(14,076,215)",15465522,8058539
기타포괄손익-공정가치측정금융자산평가손익,4386564,,
총포괄이익,135219224,133755652,85016274
포괄손익의 귀속,,,
지배기업소유주지분,132421088,130259934,83413227
비지배지분,2798136,3495718,1603047
지배기업지분에 대한 기본주당손익,,,
기본주당순이익 (단위 : 원),5024,4154,2702
