Accounts,2023.12.31,2022.12.31,2022.01.01
자산,,,
유동자산,156063159013,143947296587,123658944129
현금및현금성자산,24333342393,20209883597,26916069133
단기금융상품,14221546312,12535358057,15629688718
기타금융자산,1119874937,1941112559,2987318506
매출채권 및 기타채권,62545123183,58981954408,33474773180
유동재고자산,46837668484,45936748645,38710791302
기타유동자산,6969050052,4065652275,5795643392
당기법인세자산,36553652,276587046,144659898
비유동자산,311034851426,285704660225,287565553137
장기매출채권 및 기타비유동채권,1401286760,1206355626,1542104371
기타비유동금융자산,7088493718,18833784329,33303043727
관계기업투자,59946388290,74004042693,91566607990
유형자산,219439544086,164080443077,129416027471
사용권자산,8596577832,8995847647,9833788108
무형자산,13763373958,17381091891,21207266172
순확정급여자산,,570400667,
기타비유동자산,587017659,632694295,696715298
이연법인세자산,212169123,,
자산총계,467098010439,429651956812,411224497266
부채,,,
유동부채,174883135501,205169421949,160470364463
매입채무 및 기타채무,63660952987,56680678731,47615524055
유동 차입금,47207536720,38355507200,41949198299
단기사채,21235821669,49790312893,29236746870
단기상환우선주부채,694363504,,
기타금융부채,25155153815,48673300642,23432005463
유동 리스부채,644001958,725886806,764534514
유동성장기부채,9337887744,5297915465,4557478135
기타 유동부채,6707042946,5145820212,5150490419
당기법인세부채,240374158,500000000,7764386708
비유동부채,73241042635,54704596826,17880611457
장기매입채무 및 기타비유동채무,175189954,105300583,241296848
장기차입금,70653935761,49152657262,6770433550
비유동 리스부채,515892542,577362958,961796182
상환우선주부채,,578404136,481810094
장기기타금융부채,,994355464,846351155
순확정급여부채,710525655,140059402,382209535
기타 비유동 부채,124323898,121957821,78718173
이연법인세부채,1061174825,3034499200,8117995920
부채총계,248124178136,259874018775,178350975920
자본,,,
지배기업의 소유주에게 귀속되는 자본,175842442687,131796850798,186164143383
자본금,27353643500,9877354000,9875854000
주식발행초과금,137265943134,85620878776,85530470776
기타자본,"(13,527,118,191)","(12,897,308,149)","(8,622,369,491)"
기타포괄손익누계액,"(3,055,902,267)","(2,084,128,903)",1103846963
이익잉여금(결손금),27805876511,51280055074,98276341135
비지배지분,43131389616,37981087239,46709377963
자본총계,218973832303,169777938037,232873521346
자본과부채총계,467098010439,429651956812,411224497266
