Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출,180122798016.0,141803242402.0,100596935574.0
매출원가,39673733669.0,33636218547.0,22744271711.0
매출총이익,140449064347.0,108167023855.0,77852663863.0
판매비와관리비,50826682284.0,39290816397.0,26139943465.0
영업이익(손실),89622382063.0,68876207458.0,51712720398.0
금융수익,8660313809.0,2584120029.0,4211433763.0
금융비용,3594757133.0,4675705739.0,367148616.0
기타수익,49689454.0,30374149233.0,214610833.0
기타비용,895783805.0,400334309.0,147027685.0
법인세비용차감전순이익(손실),93841844388.0,96758436672.0,55624588693.0
법인세비용(수익),19616641192.0,21379789424.0,11819912311.0
당기순이익(손실),74225203196.0,75378647248.0,43804676382.0
기타포괄손익,24800404.0,15222362.0,51426381.0
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),24800404.0,15222362.0,51426381.0
해외사업장환산외환차이(세후기타포괄손익),24800404.0,15222362.0,51426381.0
당기총포괄이익(손실),74250003600.0,75393869610.0,43856102763.0
당기순이익(손실)귀속,,,
지배기업소유주,74225203196.0,75378647248.0,43804676382.0
총포괄이익(손실)귀속,,,
지배기업소유주,74250003600.0,75393869610.0,43856102763.0
주당이익(손실),,,
기본주당이익(손실) (단위 : 원),1155.0,1165.0,677.0
희석주당이익(손실) (단위 : 원),1152.0,1165.0,676.0
