Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,1261999605054.0,1436348000822.0,959410929424.0
"현금및현금성자산 (주5,6,7)",551987465038.0,200611632210.0,234580121275.0
"단기금융상품 (주5,6)",20034238160.0,22808525789.0,3284273722.0
"매출채권및기타채권 (주5,6,8,38)",202539775316.0,170393834303.0,157221343324.0
미청구공사 (주31),9296186602.0,7093927873.0,9666280224.0
"기타유동금융자산 (주5,6,11)",104591890030.0,711203563882.0,393560584861.0
당기법인세자산,1192885955.0,483024623.0,37485685.0
기타유동자산 (주10),27323825712.0,18680696148.0,26194804535.0
재고자산 (주9),345033338241.0,305072795994.0,134866035798.0
비유동자산,1130247002880.0,993931801055.0,794154162007.0
"장기금융기관예치금 (주5,6,39)",71344000000.0,14500000.0,15500000.0
"장기매출채권및기타채권 (주5,6,8,38)",2783750749.0,3774687388.0,7090448171.0
"기타비유동금융자산 (주5,6,11,38)",24448935389.0,49874269969.0,57834344030.0
이연법인세자산 (주36),18092883782.0,13939833195.0,3580059604.0
"관계기업투자 (주16,38)",0.0,40828708529.0,42506537738.0
"유형자산 (주12,13,39)",1000400973373.0,873976217105.0,673797394766.0
투자부동산 (주14),914596744.0,938034616.0,961472488.0
무형자산 (주15),12207968842.0,10543600734.0,8240547863.0
기타비유동자산 (주10),53894001.0,41949519.0,127857347.0
자산총계,2392246607934.0,2430279801877.0,1753565091431.0
부채,,,
유동부채,332800203153.0,176543818151.0,148562451793.0
"매입채무및기타채무 (주5,6,17,38,40)",73375213447.0,81707298872.0,79683346012.0
초과청구공사 (주31),38684322986.0,27467001861.0,24558332049.0
"단기차입금 (주5,6,18,40,41)",145832931652.0,30607710969.0,175685386.0
"유동성장기부채 (주5,6,18,40,41)",212640000.0,264280000.0,264280000.0
"기타유동금융부채 (주5,6,22,38,40,41)",12469091149.0,17706353152.0,20175404363.0
"신주인수권부사채 (주5,6,19,38,40,41)",50233556600.0,0.0,0.0
당기법인세부채,1557856549.0,8627008559.0,6757460448.0
유동충당부채 (주21),8352839843.0,7671784790.0,15325848216.0
"기타 유동부채 (주20,31)",2081750927.0,2492379948.0,1622095319.0
비유동부채,93613724937.0,263649543311.0,255722473169.0
"장기매입채무및기타채무 (주5,6,17,38,40)",74821771.0,1674973917.0,770432124.0
"장기차입금 (주5,6,18,40,41)",5652606933.0,483190000.0,747470000.0
"전환사채 (주5,6,19,40,41)",0.0,136272618272.0,132974651721.0
"신주인수권부사채 (주5,6,19,38,40,41)",0.0,48130198831.0,46155361422.0
"기타비유동금융부채 (주5,6,22,38,40,41)",17615117480.0,31444216072.0,22958808075.0
이연법인세부채 (주36),16549745007.0,10513854775.0,7123370194.0
순확정급여부채 (주23),28852306829.0,28952716557.0,34530898571.0
비유동충당부채 (주21),728200650.0,298582626.0,953319009.0
기타비유동부채 (주20),24140926267.0,5879192261.0,9508162053.0
부채총계,426413928090.0,440193361462.0,404284924962.0
자본,,,
지배기업의 소유지분,1433495290846.0,1459906206782.0,988598686744.0
자본금 (주24),23055417500.0,23055417500.0,23055417500.0
"기타불입자본 (주25,38)",1137695753096.0,1140277508136.0,696945488737.0
기타자본구성요소 (주26),29325232858.0,2832163963.0,256976116244.0
이익잉여금 (주27),243418887392.0,293741117183.0,11621664263.0
"비지배지분 (주29,38)",532337388998.0,530180233633.0,360681479725.0
자본총계,1965832679844.0,1990086440415.0,1349280166469.0
자본과부채총계,2392246607934.0,2430279801877.0,1753565091431.0
