Accounts,2023.12.31
자산,
유동자산,191014588036
현금및현금성자산,15541975441
매출채권 및 기타유동채권,84692146955
재고자산,87108823731
당기법인세자산,29278650
기타유동금융자산,888487955
기타유동자산,2753875304
비유동자산,247019194857
유형자산,111432907413
영업권 이외의 무형자산,13285685747
관계기업에 대한 투자자산,95136479792
공동기업에 대한 투자자산,544903567
최초인식시점 또는 그 이후에 지정된 비유동 당기손익인식금융자산,19921982000
기타포괄손익-공정가치 측정 비유동금융자산,495332089
이연법인세자산,112424496
기타비유동금융자산,1036082350
기타비유동자산,154548181
순확정급여자산,4898849222
자산총계,438033782893
부채,
유동부채,208318896606
매입채무 및 기타유동채무,60809223190
유동 차입금,140603124000
당기법인세부채,177779860
기타유동금융부채,674116089
기타 유동부채,6054653467
비유동부채,8889649221
비유동충당부채,1353259000
이연법인세부채,5189845663
기타비유동금융부채,831991557
기타 비유동 부채,1514553001
부채총계,217208545827
자본,
지배기업의 소유주에게 귀속되는 자본,212813885858
자본금,5927584000
주식발행초과금,155793944299
기타포괄손익누계액,"(6,403,858,566)"
기타자본구성요소,33912718292
이익잉여금(결손금),23583497833
비지배지분,8011351208
자본총계,220825237066
자본과부채총계,438033782893
