Accounts,2023.07.01~2023.12.31
당기순이익(손실),24143455808
기타포괄손익,"(6,400,908,158)"
당기손익으로 재분류되지 않는항목(세후기타포괄손익),
기타포괄손익-공정가치 측정 금융자산 평가손익,847873
확정급여제도의 재측정손익(세후기타포괄손익),"(2,495,943,366)"
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),
지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),"(3,910,818,800)"
해외사업장환산외환차이(세후기타포괄손익),5006135
총포괄손익,17742547650
포괄손익의 귀속,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",17179639267
"포괄손익, 비지배지분",562908383
