Accounts,2023.07.01~2023.12.31
매출액,279366908292.0
매출원가,221256203806.0
매출총이익,58110704486.0
판매비와관리비,26258910760.0
영업이익(손실),31851793726.0
기타이익,776157447.0
기타손실,656872860.0
금융수익,1423433315.0
금융원가,3483352806.0
지분법 이익,480940578.0
법인세비용차감전순이익(손실),30392099400.0
법인세비용(수익),6248643592.0
당기순이익(손실),24143455808.0
당기순이익(손실)의 귀속,
지배기업의 소유주에게 귀속되는 당기순이익(손실),23583497833.0
비지배지분에 귀속되는 당기순이익(손실),559957975.0
주당이익,
기본주당이익(손실) (단위 : 원),1990.0
희석주당이익(손실) (단위 : 원),1990.0
