Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,353777868454,318145220527,983013458250
현금및현금성자산,149673348367,155180024417,884653758149
매출채권,30484459008,22929174347,16799214854
기타유동수취채권,94585959603,78220256041,44933113418
당기손익-공정가치측정금융자산,11575794983,33313501191,12927670859
재고자산,56071897604,21669923392,19212580609
기타유동자산,10535479572,5494914585,4484403821
유동계약자산,811243477,1322090094,0
당기법인세자산,39685840,15336460,2716540
비유동자산,107768633688,81961571938,75486598031
장기매출채권,1163702922,0,0
기타비유동수취채권,1077336134,1409694249,921839376
당기손익-공정가치측정금융자산,15879318430,10013232233,9502868485
기타비유동자산,80919427,1145584294,1100998344
유형자산,43578932568,25539358816,19551961040
무형자산,17976526002,16928123925,14311496299
관계기업 및 공동기업투자,20891908246,18722806879,21541729790
퇴직급여자산,2010300,2010300,2010300
비유동계약자산,0,1411281981,0
이연법인세자산,7117979659,6789479261,8553694397
자산총계,461546502142,400106792465,1058500056281
부채,,,
유동부채,283199972039,250568992480,920940814426
매입채무,16706088391,10058545060,9719003078
단기차입금,37419163489,21500000000,26500000000
미지급금,205224298282,179204190506,191858955411
기타유동지급채무,6023464889,3952213142,4042702070
당기법인세부채,3095875715,8327874704,2300680182
기타유동부채,1725598181,2866473066,3558245425
전환상환우선주,2293747502,0,0
예수부채,10625446344,24659696002,682961228260
유동충당부채,86289246,0,0
비유동부채,5242603124,3926165070,2514197501
기타비유동지급채무,1234362162,2323972304,1714342982
당기손익-공정가치측정금융부채,2074740512,0,0
비유동충당부채,131606035,229697825,137219569
기타비유동부채,1158310501,897389837,108328172
이연법인세부채,643583914,475105104,554306778
부채총계,288442575163,254495157550,923455011927
자본,,,
지배기업의 소유주에게 귀속되는 자본,175252483889,145611632348,135045038325
자본금,7779559000,7779559000,7779559000
주식발행초과금,66001652970,66001652970,66001652970
기타자본요소,"(13,424,255,242)","(11,051,002,459)","(11,283,757,853)"
자기주식,"(36,085,094,498)","(39,062,288,816)","(28,567,472,144)"
기타포괄손익누계액,"(125,113,349)",8785661,274029885
해외사업환산,"(535,525,639)","(421,752,003)","(156,507,779)"
지분법자본변동,410412290,430537664,430537664
이익잉여금,151105735008,121934925992,100841026467
비지배지분,"(2,148,556,910)",2567,6029
자본총계,173103926979,145611634915,135045044354
자본과부채총계,461546502142,400106792465,1058500056281
