Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
당기순이익(손실),17549961156,24547772313,12538612095
기타포괄손익,"(714,320,572)",559560450,3152973848
당기손익으로 재분류되지 않는항목(세후기타포괄손익),,,
순확정급여부채의 재측정요소,"(437,311,314)",805521362,"(21,205,501)"
"세후기타포괄손익, 지분상품에 대한 투자자산","(215,014,964)",35704907,"(55,734,900)"
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),,,
해외사업장환산외환차이(세후기타포괄손익),"(61,994,294)","(281,665,819)",3229914249
총포괄손익,16835640584,25107332763,15691585943
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",16766493277,24611853011,15256808960
"포괄손익, 비지배지분",69147307,495479752,434776983
