Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
당기순이익,630241,662588,724218
법인세비용차감후기타포괄손익,"(39,088)",90678,"(30,369)"
후속적으로 당기손익으로 재분류되지 않는 항목,"(43,984)",100219,"(33,085)"
기타포괄손익-공정가치 지분상품 평가손익,117,"(1,723)",3539
확정급여제도의 재측정요소,"(44,492)",101179,"(36,643)"
지분법자본변동,391,763,19
후속적으로 당기손익으로 재분류될 수 있는 항목,4896,"(9,541)",2716
기타포괄손익-공정가치로 측정되는 금융자산의 평가손익,7949,"(11,487)","(3,060)"
현금흐름위험회피 파생상품 평가손익,"(3,967)",813,3866
해외사업환산외환차이,914,1133,1910
당기총포괄이익,591153,753266,693849
당기총포괄손익의 귀속,,,
지배기업의 소유주,586455,749888,681883
비지배지분,4698,3378,11966
