Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),213158959126,99755575875,117380845104
매출원가,205245314670,102553866653,102899784584
매출총이익,7913644456,"(2,798,290,778)",14481060520
판매비와관리비,11594301449,12705064562,9489302545
영업이익(손실),"(3,680,656,993)","(15,503,355,340)",4991757975
금융수익,476572980,869053599,3053117292
금융원가,2564976957,2698676333,4063028543
기타이익,2701321239,2117525667,1854066783
기타손실,6351791529,2751666623,2519525461
법인세비용차감전순이익(손실),"(9,419,531,260)","(17,967,119,030)",3316388046
법인세비용(수익),"(144,395,700)","(22,756,500)","(94,888,684)"
당기순이익(손실),"(9,275,135,560)","(17,944,362,530)",3411276730
기타포괄손익,"(301,331,983)",240237275,"(309,988,172)"
당기손익으로 재분류되지 않는항목(세후기타포괄손익),"(185,498,966)",270590342,"(191,204,277)"
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"(115,833,017)","(30,353,067)","(118,783,895)"
총포괄손익,"(9,576,467,543)","(17,704,125,255)",3101288558
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),"(9,275,135,560)","(17,944,362,530)",3411276730
비지배지분에 귀속되는 당기순이익(손실),0,0,0
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분","(9,576,467,543)","(17,704,125,255)",3101288558
"포괄손익, 비지배지분",0,0,0
주당이익,,,
기본주당이익(손실) (단위 : 원),"(2,269)","(4,389)",834
희석주당이익(손실) (단위 : 원),"(2,269)","(4,389)",834
