Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,99808420,86559029,69862366
매출원가,77179573,68536010,56937165
매출총이익,22628847,18023019,12925201
판매비와관리비,11020974,10789899,7859516
판매비,6507272,6935135,4578163
일반관리비,4513702,3854764,3281353
영업이익,11607873,7233120,5065685
관계기업 및 공동기업 투자손익,683748,363650,1168179
금융수익,1263092,604430,356724
금융원가,392011,662364,327444
기타 손익,"(485,358)","(36,843)",130637
기타수익,588090,810452,626537
기타 비용,1073448,847295,495900
법인세비용차감전순이익,12677344,7501993,6393781
법인세비용(수익),3899527,2093017,1633470
당기순이익,8777817,5408976,4760311
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),8776970,5409429,4760450
비지배지분에 귀속되는 당기순이익(손실),847,(453),(139)
주당이익,,,
기본주당이익 (단위 : 원),22168,13495,11874
