Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,92467028124.0,95876805140,87198120370.0
현금및현금성자산,1754926475.0,5452564237,8827264769.0
단기금융상품,20497185.0,620000000,
매출채권및기타채권,46811682202.0,46880632306,41891564189.0
재고자산,42988269307.0,41434845944,35261169354.0
기타유동자산,888093655.0,1378268047,1218122058.0
당기법인세자산,3559300.0,110494606,
비유동자산,94621658651.0,108287979721,99471391013.0
장기금융상품,2000000.0,2000000,382000000.0
장기매출채권및기타수취채권,983805161.0,541051339,722398947.0
유형자산,85677140543.0,100387552663,88758242873.0
사용권자산,4277517753.0,4716779299,4913729099.0
무형자산,1322580215.0,1431513742,1417549876.0
기타비유동자산,16836426.0,19585004,19209420.0
이연법인세자산,2341778553.0,1189497674,3258260798.0
자산총계,187088686775.0,204164784861,186669511383.0
부채,,,
유동부채,101159167798.0,89226091587,66729129553.0
매입채무및기타채무,13849908804.0,21249760655,19859907096.0
단기차입금,77204640540.0,60894076784,37042735341.0
유동성장기부채,9050796493.0,5739396495,8435564894.0
당기법인세부채,,,252889548.0
충당부채,,,69638400.0
유동성리스부채,405345542.0,343695128,384007418.0
기타유동부채,648476419.0,999162525,684386856.0
비유동부채,22198862818.0,31117555342,36059644539.0
장기차입금,13127328000.0,24673652787,14395878127.0
리스부채,852144655.0,204654240,508952445.0
종업원급여부채,7910429151.0,5938368433,20870698436.0
충당부채,308961012.0,300879882,284115531.0
부채총계,123358030616.0,120343646929,102788774092.0
자본,,,
지배기업의 소유주지분,63730656159.0,83821137932,83880737291.0
자본금,21000000000.0,21000000000,21000000000.0
자본잉여금,30916617652.0,30916617652,30916617652.0
기타자본항목,265546192.0,"(145,235,872)",175621950.0
이익잉여금,11548492315.0,32049756152,31788497689.0
자본총계,63730656159.0,83821137932,83880737291.0
비지배지분,,,
부채및자본총계,187088686775.0,204164784861,186669511383.0
