Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),12399818269,32684685970,40257738731.0
매출원가,11957483992,20769570360,22675082787.0
매출총이익,442334277,11915115610,17582655944.0
판매비와관리비,6631006870,6977357819,5689458852.0
영업이익(손실),"(6,188,672,593)",4937757791,11893197092.0
기타이익,212533864,198322282,24113252.0
기타손실,45361050,75440574,98725941.0
금융수익,78046116,86868586,2456553262.0
금융원가,1131696561,632772179,1512054610.0
법인세비용차감전순이익(손실),"(7,075,150,224)",4514735906,12763083055.0
법인세비용(수익),2049569144,34727157,3140056669.0
계속영업이익(손실),"(9,124,719,368)",4480008749,9623026386.0
당기순이익(손실),"(9,124,719,368)",4480008749,9623026386.0
기타포괄손익,149338712,"(392,069,857)",68586418.0
총포괄손익,"(8,975,380,656)",4087938892,9691612804.0
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),"(8,975,380,656)",4087938892,9691612804.0
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분","(8,975,380,656)",4087938892,9691612804.0
주당이익,,,
기본주당이익(손실) (단위 : 원),(768.60),381.50,1120.0
희석주당이익(손실) (단위 : 원),(769.00),379.00,800.0
