Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,68509274103,56999427205,54011408548
현금및현금성자산,10276116606,7647728214,16757317061
매출채권 및 기타유동채권,9308295472,15136070701,13673469319
단기금융상품,12018849121,8231651873,4753883835
기타유동금융자산,,31419745,17735948
기타유동자산,2366511169,3486503623,1704414961
당기법인세자산,115606850,58177720,63328409
유동재고자산,34423894885,22407875329,17041259015
비유동자산,19133823759,17449212077,16584641681
기타비유동금융자산,2381286909,2852044827,2968113649
장기매출채권 및 기타비유동채권,3729290474,3570708815,2235644423
유형자산,11462119191,9412288548,8868249576
영업권 이외의 무형자산,185947432,235019678,1723587834
이연법인세자산,1375179753,1379150209,789046199
자산총계,87643097862,74448639282,70596050229
부채,,,
유동부채,32430622527,27394104957,24921607583
매입채무 및 기타유동채무,7917895386,10687736048,8859027110
기타유동금융부채,19362134545,14499674197,12594821785
기타 유동부채,5103535280,2167131866,3441518919
유동충당부채,26239769,26239769,26239769
당기법인세부채,20817547,13323077,
비유동부채,11653799026,7381753642,11195855823
장기매입채무 및 기타비유동채무,7435461694,4039077277,7432787003
기타비유동금융부채,1138807670,762757406,510996995
퇴직급여부채,3079529662,2579918959,3252071825
부채총계,44084421553,34775858599,36117463406
자본,,,
지배기업의 소유주에게 귀속되는 자본,38838487055,35499626896,31034214167
자본금,7288670000,7288670000,7288670000
자본잉여금,46732987322,46732987322,46345798700
기타자본구성요소,"(3,816,643,399)","(4,367,802,308)","(4,823,347,769)"
이익잉여금(결손금),"(11,366,526,868)","(14,154,228,118)","(17,776,906,764)"
비지배지분,4720189254,4173153787,3444372656
자본총계,43558676309,39672780683,34478586823
자본과부채총계,87643097862,74448639282,70596050229
