Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
Ⅰ.영업수익,170741464684,35352148402,824156954553
Ⅱ.영업비용,16811447069,466239719434,31542196803
투자비용,8432486811,455233691093,17135456174
일반관리비,8378960258,11006028341,14406740629
Ⅲ.영업활동으로부터의 이익(손실),153930017615,"(430,887,571,032)",792614757750
Ⅳ.영업외손익,"(82,053,878)","(5,606,426)","(31,710,128)"
기타수익,18239479,139901,87804
기타비용,"(100,293,357)","(5,746,327)","(31,797,932)"
Ⅴ.법인세비용차감전순이익(손실),153847963737,"(430,893,177,458)",792583047622
Ⅵ.법인세비용(수익),31863815319,"(103,068,410,173)",173160517629
Ⅶ.당기순이익(손실),121984148418,"(327,824,767,285)",619422529993
Ⅷ.기타포괄손익,113577421,"(1,040,544,797)","(4,087,733,248)"
후속적으로 당기손익으로 재분류될 수 있는 항목,,,
해외사업환산차손익,"(44,995,714)","(18,960,140)","(1,339,042,095)"
후속적으로 당기손익으로 재분류될 수 없는 항목,,,
확정급여제도의 재측정요소,"(349,993,754)","(416,713,403)","(2,768,708,510)"
기타포괄-공정가치측정지분상품평가손익,508566889,"(604,871,254)","(1,339,042,095)"
Ⅸ.총포괄손익,122097725839,"(328,865,312,082)",615334796745
Ⅹ.당기순이익(손실)의 귀속,,,
지배기업의 소유주지분,121984148418,"(327,824,767,285)",619422529993
비지배지분,0,0,0
XI.총포괄이익(손실)의 귀속,,,
지배기업의 소유주지분,122097725839,"(328,865,312,082)",615334796745
비지배지분,0,0,0
XII.주당손익,,,
보통주기본주당이익(손실) (단위 : 원),1566,"(4,210)",7954
보통주희석주당이익(손실) (단위 : 원),1566,"(4,210)",7954
