Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
"매출액 (주4,25,32)",342860997946,165272164547,131001972745
"매출원가 (주26,32)",227772503183,112512543184,92315943067
매출총이익,115088494763,52759621363,38686029678
"판매비와관리비 (주26,27,32)",67279151293,38520182227,29927106533
영업이익,47809343470,14239439136,8758923145
영업외손익,314072837,27742333,1503787674
"이자수익 (주7,28,32)",720462660,795078938,65277344
"기타금융수익 (주7,28)",3885720849,4132476567,2080102997
"이자비용 (주7,28)","(711,092,251)","(285,846,458)","(249,391,869)"
"기타금융원가 (주7,28)","(4,607,579,900)","(4,906,897,604)","(1,239,395,836)"
기타수익 (주29),240974254,201763565,437347144
기타비용 (주29),"(736,309,845)","(292,486,907)","(157,190,080)"
지분법손익,1521897070,383654232,567037974
지분법이익 (주10),2023315421,877155866,591123644
지분법손실 (주10),"(501,418,351)","(493,501,634)","(24,085,670)"
법인세비용차감전순이익,48123416307,14267181469,10262710819
법인세비용 (주24),10110212035,3111524949,2008504767
당기순이익,38013204272,11155656520,8254206052
기타포괄손익,127999331,480435759,683884161
당기손익으로 재분류되지 않는항목(세후기타포괄손익),,,
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),127999331,480435759,683884161
지분법자본변동,33446113,"(30,826,466)",70535703
해외사업환산손익,94553218,511262225,613348458
총포괄손익,38141203603,11636092279,8938090213
주당순이익,,,
기본주당이익 (단위 : 원) (주33),631.0,186.0,149.0
희석주당이익 (단위 : 원) (주33),623.0,178.0,149.0
