Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,136394594980.0,73230909481.0,68848134772.0
"현금및현금성자산 (주5,6,7)",17217510020.0,21188944927.0,16087635297.0
"매출채권 (주5,6,7,8,32)",21282743325.0,6123604544.0,5430957957.0
"단기기타금융자산 (주5,6,7,8,32)",17103561266.0,16745635242.0,25139842570.0
기타유동자산 (주14),1316781292.0,556951044.0,355246811.0
당기법인세자산 (주24),937399718.0,13467597.0,53265701.0
재고자산 (주9),78536599359.0,28602306127.0,21781186436.0
비유동자산,78875966099.0,55985406547.0,28544349513.0
"당기손익-공정가치측정금융자산 (주6,7)",,313363280.0,3748319.0
"기타금융자산 (주5,6,7,8)",1296330857.0,726164674.0,620125559.0
종속기업투자주식 (주10),,6062000.0,6062000.0
관계기업투자주식 (주10),16230428752.0,10348055315.0,4795537893.0
유형자산 (주11),54127549015.0,42809500040.0,20748465052.0
사용권자산 (주12),5081213845.0,1303568697.0,2204946497.0
무형자산 (주13),660690211.0,90829875.0,165464193.0
이연법인세자산 (주24),1479753419.0,387862666.0,
자산총계,215270561079.0,129216316028.0,97392484285.0
부채,,,
유동부채,74179193067.0,28605613290.0,6463033110.0
"매입채무 (주5,6,7,18,32)",501545548.0,1081730859.0,60874033.0
계약부채 (주16),1231347058.0,549872789.0,286269140.0
"단기차입금 (주5,6,7,17)",55000000000.0,20001490659.0,1007675000.0
"유동성장기부채 (주5,6,7,17)",125053387.0,120047413.0,109159204.0
"단기기타금융부채 (주5,6,7,18)",2356176495.0,1911222594.0,1298561025.0
기타 유동부채 (주19),4620604383.0,1852708430.0,1361576742.0
당기법인세부채 (주24),7642136185.0,2135995125.0,1115599196.0
"유동 리스부채 (주5,6,7,12)",2702330011.0,952545421.0,1223318770.0
비유동부채,6139431829.0,4223839431.0,4635796556.0
"장기차입금 (주5,6,7,17)",3637154039.0,3686190682.0,3557210043.0
"기타금융부채 (주6,7)",,94000000.0,
"비유동 리스부채 (주5,6,7,12)",2330484542.0,330087096.0,898283329.0
순확정급여부채,50261766.0,,
이연법인세부채,,,66035848.0
복구충당부채 (주15),121531482.0,113561653.0,114267336.0
부채총계,80318624896.0,32829452721.0,11098829666.0
자본,,,
지배기업의 소유주에게 귀속되는 자본,,,
보통주자본금 (주20),30295340000.0,30189340000.0,5012382000.0
자본잉여금 (주20),30176344833.0,29625573816.0,52765535387.0
기타포괄손익누계액 (주21),2836862823.0,2708863492.0,2228427733.0
"기타자본항목 (주20,23)",837480621.0,1070382365.0,886499535.0
이익잉여금 (주22),70805907906.0,32792703634.0,25400809964.0
비지배지분,,,
자본총계,134951936183.0,96386863307.0,86293654619.0
부채와자본 총계,215270561079.0,129216316028.0,97392484285.0
