Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,64709329353,60513166455,44026766427
현금및현금성자산,20286896284,11421083623,9762878199
매출채권 및 기타수취채권,8702749278,7615671164,7218515340
당기손익-공정가치측정금융자산,2245271646,2035980422,4096418048
기타금융자산,10233503572,14320000000,4018951797
재고자산,21965812430,20041281877,15534433533
기타유동자산,1275096143,5079149369,2430631851
매각예정비유동자산,,,964937659
비유동자산,39435978164,42985941151,44589109771
기타장기수취채권,19874693855,20075981908,19840930000
당기손익-공정가치측정금융자산,,,2513116775
기타비유동금융자산,2181022370,4832444997,1889676211
유형자산,14401250018,14945208664,18105779029
무형자산,1853720529,1850260807,1959356011
이연법인세자산,1125291392,1282044775,280251745
자산총계,104145307517,103499107606,88615876198
부채,,,
유동부채,19896763567,26426410653,28001126991
매입채무 및 기타지급채무,9177650626,8555637395,7151497598
단기차입금,9044143236,11842573812,15184678845
유동성리스부채,469839378,485422282,196493889
당기법인세부채,1030992833,5252863856,1041010998
기타 유동부채,174137494,289913308,4427445661
비유동부채,347946312,663074306,211183504
기타장기지급채무,,200000000,160000000
비유동 리스부채,347946312,463074306,51183504
부채총계,20244709879,27089484959,28212310495
자본,,,
지배기업의 소유주에게 귀속되는 자본,83900597638,76409622647,60403565703
자본금,3375366500,3375366500,3375366500
자본잉여금,28391201501,28391201501,28391201501
기타자본구성요소,"(1,003,758,158)","(1,003,758,158)","(1,003,758,158)"
이익잉여금,53137787795,45646812804,29640755860
비지배지분,,,
자본총계,83900597638,76409622647,60403565703
자본과부채총계,104145307517,103499107606,88615876198
