Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31
수익(매출액),135901878758,121663336913
매출원가,113474610282,111401867061
매출총이익,22427268476,10261469852
판매비와관리비,18476421178,12185511465
영업이익(손실),3950847298,"(1,924,041,613)"
금융수익,958165978,595019957
금융비용,2605573651,2459566910
기타수익,9417229660,9352061261
기타비용,7562808505,5406408921
지분법손익,"(227,375,265)",
법인세비용차감전순이익(손실),3930485515,157063774
법인세비용(수익),1851651563,3380654161
당기순이익(손실),2078833952,"(3,223,590,387)"
기타포괄손익,"(708,726,149)","(507,814,550)"
당기손익으로 재분류되지 않는항목(세후기타포괄손익),"(788,644,608)",12153637
확정급여제도의 재측정손익(세후기타포괄손익),"(788,644,608)",12153637
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),79918459,"(519,968,187)"
해외사업장환산외환차이(세후기타포괄손익),79918459,"(519,968,187)"
총포괄손익,1370107803,"(3,731,404,937)"
당기순이익(손실)의 귀속,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),2078833952,"(3,223,590,387)"
포괄손익의 귀속,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",1370107803,"(3,731,404,937)"
주당이익,,
기본 및 희석주당이익(손실)(단위:원) (단위 : 원),80,(139)
