Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
현금 및 예치금,34480458,45840351,31406596
당기손익-공정가치측정 금융자산,54605832,52374699,38718285
기타포괄손익-공정가치측정 금융자산,44313496,37779945,39473529
상각후원가측정 유가증권,36480396,38928911,23769017
상각후원가측정 대출채권,381410658,361495530,337349273
위험회피회계파생상품자산,9678,32312,77507
관계기업 및 공동기업 투자주식,4159967,3917787,3282042
보험계약자산,7718,2826,
재보험계약자산,42203,33030,
유형자산,6505642,5243039,3539669
투자부동산,1321579,1250085,1055719
무형자산,935122,803949,748337
순확정급여자산,58648,134965,
이연법인세자산,364438,396364,302030
당기법인세자산,63279,42144,27515
매각예정비유동자산,57643,72950,412594
기타자산,27109238,20254393,22283157
자산총계,591925995,568603280,502445270
자본과 부채,,,
부채,,,
당기손익-공정가치측정 금융부채,21599202,28020558,15876923
예수부채,371866240,362575964,325149095
차입부채,43590349,37087312,30261598
사채,58702329,56673832,54476161
위험회피회계파생상품부채,432303,546408,118599
보험계약부채,5546506,5389087,
재보험계약부채,6701,6222,
순확정급여부채,175899,10610,198020
충당부채,841636,636761,587422
이연법인세부채,363510,2259,203288
당기법인세부채,134109,728386,782822
기타부채,48485494,39297733,39292002
부채총계,551744278,530975132,466945930
자본,,,
지배기업소유주지분,39343318,36635712,34218635
자본금,1501210,1501210,1501210
신종자본증권,3606048,3294688,2626459
자본잉여금,10582774,10581291,10576587
자본조정,"(181,682)","(165,041)","(315,606)"
기타포괄손익누계액,"(1,291,177)","(1,762,964)","(994,227)"
이익잉여금,25126145,23186528,20824212
비지배지분,838399,992436,1280705
자본총계,40181717,37628148,35499340
부채및자본총계,591925995,568603280,502445270
