Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
순이자이익,8879449,9006015,7437205
이자수익,23275944,15984691,10867491
기타포괄손익-공정가치측정 및 상각후원가 측정 금융상품 이자수익,22424686,15417542,
당기손익-공정가치측정 금융상품 이자수익,851106,468479,
보험 및 재보험계약 이자수익,152,98670,
이자비용,"(14,396,495)","(6,978,676)","(3,430,286)"
금융상품 이자비용,"(14,066,014)","(6,959,006)",
보험 및 재보험계약 이자비용,"(330,481)","(19,670)",
순수수료이익,1977733,1715071,1741717
수수료수익,3034920,2688951,2653186
수수료비용,"(1,057,187)","(973,880)","(911,469)"
당기손익-공정가치측정 금융상품 관련 순손익,745788,126234,789984
기타포괄손익-공정가치측정 금융자산관련순손익,80582,17146,104548
상각후원가측정 금융자산 처분손익,85086,61066,76830
위험회피회계 파생상품 관련 손익,25306,"(67,719)","(51,735)"
외환거래손익,414790,489827,38322
순보험손익,25351,"(64,242)",
보험수익,552477,489170,
보험서비스비용,"(521,008)","(543,379)",
재보험수익,36819,27113,
재보험비용,"(42,937)","(37,146)",
보험 및 재보험 금융손익,532,"(11,156)",
총영업이익,12234617,11272242,10136871
신용손실충당금전입액,"(1,550,742)","(1,187,056)","(533,218)"
순영업이익,10683875,10085186,9603653
일반관리비,"(4,408,272)","(4,256,713)","(4,050,460)"
기타영업수익,894212,693199,1587197
기타영업비용,"(2,476,408)","(1,833,390)","(2,509,294)"
영업이익,4693407,4688282,4631096
영업외손익,"(12,195)",255034,273829
지분법이익,160155,233166,130980
기타수익,240161,261233,558348
기타비용,"(412,511)","(239,365)","(415,499)"
법인세비용차감전순이익,4681212,4943316,4904925
법인세비용,"(1,212,856)","(1,303,906)","(1,323,343)"
연결당기순이익,3468356,3639410,3581582
기타포괄손익,531779,"(786,710)",62539
후속적으로 당기손익으로 재분류되는 항목,,,
기타포괄손익-공정가치측정채무증권 평가손익,757543,"(915,767)","(405,131)"
해외사업장환산외환차이,73595,5991,292027
지분법자본변동,"(5,009)","(1,366)",181108
순투자위험회피평가손익,"(22,096)","(20,529)","(40,788)"
현금흐름위험회피평가손익,"(13,907)","(3,864)",2234
특별계정기타포괄손익,,,"(1,808)"
보험계약 관련 금융손익,"(159,752)",208279,
재보험계약 관련 금융손익,(352),1953,
후속적으로 당기손익으로 재분류되지 않는 항목,,,
기타포괄손익-공정가치측정지분증권 평가손익,79375,"(56,142)",18208
당기손익-공정가치측정항목지정 금융부채신용위험변동효과,"(7,567)","(7,675)","(10,356)"
공정가치위험회피수단평가손익,,"(11,861)","(14,138)"
지분법자본변동,"(1,934)","(14,676)",1534
확정급여제도의 재측정요소,"(168,117)",28947,39649
연결당기총포괄이익,4000135,2852700,3644121
연결당기순이익의 귀속,,,
지배기업소유주지분,3421712,3570607,3526068
비지배지분,46644,68803,55514
연결당기총포괄이익의 귀속,,,
지배기업소유주지분,3944640,2794791,3570890
비지배지분,55495,57909,73231
주당이익(손실),,,
기본주당이익 (단위 : 원),11380,11865,11819
희석주당이익 (단위 : 원),11380,11865,11819
