Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,589116787480,640579788285,411930568950
현금및현금성자산,259027473598,264607382532,53798172611
단기금융상품,130470,1870811660,2155444831
매출채권 및 기타유동채권,118049940985,176016165645,114643203199
매출채권,76150597765,153866354363,94258672293
단기선급금,9829702158,6487831,70938972
단기선급비용,11657636145,10344888621,9107258136
"기타채권 (주6,14,16,17)",20412004917,11798434830,11206333798
당기법인세자산,1732317748,,5265713344
유동재고자산,210306924679,197585909727,236068034965
기타유동금융자산,,499518721,
"기타금융자산 (주8,17)",,495250686,
유동파생상품자산,,4268035,
비유동자산,736876512990,565793843764,539990293248
유형자산,595827974476,488936243788,460722095191
사용권자산,620228480,564016010,480963598
투자부동산,2046744000,1889467600,2326525000
영업권 이외의 무형자산,3366350000,3374600400,3526371773
기타비유동금융자산,104230768391,50384090359,66947899692
"종속기업, 공동기업과 관계기업에 대한 투자자산",,,
관계기업에 대한 투자자산,,,
종업원급여자산 (주18),12577945629,10526196401,
이연법인세자산,4683942198,338049221,465852740
기타비유동자산,13522559816,9781179985,5520585254
자산총계,1325993300470,1206373632049,951920862198
부채,,,
유동부채,163667396735,195447062794,175550684050
매입채무 및 기타유동채무,126244444578,138905402286,155225036622
단기매입채무,45589951645,54402901034,54500019502
유동 차입금,80374345475,84239449072,100478595532
유동성리스부채,280147458,263052180,246421588
당기법인세부채,4975120719,29368189176,6120227051
"기타부채 (주18,19,34)",32447831438,27173471332,14205420377
비유동부채,155294997628,101746126180,149970267922
장기매입채무 및 기타비유동채무,65203462625,25163704722,25132186498
장기차입금,65000000000,25000000000,25000000000
비유동 리스부채,203462625,163704722,132186498
비유동충당부채,5742339389,23517012363,54011624213
비유동 그 밖의 기타충당부채,5742339389,23517012363,54011624213
퇴직급여부채,1601149583,1147882142,2443373006
종업원급여부채,1601149583,1147882142,1276608750
순확정급여부채 (주20),,,1166764256
이연법인세부채,82267359885,51638789226,68305286082
기타 비유동 부채,480686146,278737727,77798123
부채총계,318962394363,297193188974,325520951972
자본,,,
지배기업의 소유주에게 귀속되는 자본,1007030906107,909180443075,626399910226
자본금,56188075000,56188075000,39188075000
보통주자본금,56188075000,56188075000,39188075000
자본잉여금,150772424469,150772424469,100843392999
주식발행초과금,150772424469,150772424469,100843392999
자본조정,"(10,965,248)","(10,965,248)","(10,965,248)"
기타포괄손익누계액,249603208274,206385416557,221639321970
이익잉여금(결손금),550478163612,495845492297,264740085505
자본총계,1007030906107,909180443075,626399910226
자본과부채총계,1325993300470,1206373632049,951920862198
