Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,84227765,83467318,73907984
매출원가,64425110,63231088,55010762
매출총이익,19802655,20236230,18897222
판매비와관리비,16253581,16685258,14839225
판매비,9989153,10700361,9080366
관리비,1999531,1788544,1410710
연구개발비,2547621,2397333,2092951
서비스비,1717276,1799020,2255198
영업이익,3549074,3550972,4057997
금융수익,1285261,1038184,588909
금융비용,1425480,1231875,660571
지분법이익(손실),"(1,044,728)","(1,168,026)",448881
기타영업외수익,2295013,3852929,1864071
기타영업외비용,2766111,3502373,2460391
초인플레이션으로 인한 순화폐성 항목에서 발생하는 이익(손실),"(23,150)",0,0
법인세차감전순이익,1869879,2539811,3838896
법인세비용,720212,532307,1057777
계속영업 당기순이익,1149667,2007504,2781119
중단영업 당기순손익,944,"(144,381)","(1,366,147)"
당기순이익(손실)(A),1150611,1863123,1414972
당기순이익(손실)의 귀속,,,
지배기업의 소유주지분,712902,1196442,1031710
계속영업당기순이익(손실),711958,1340750,2180431
중단영업당기순이익(손실),944,"(144,308)","(1,148,721)"
비지배지분,437709,666681,383262
계속영업당기순이익(손실),437709,666754,384402
중단영업당기순이익(손실),0,(73),"(1,140)"
주당이익,,,
보통주기본주당순이익(손실) (단위 : 원),3954,6640,5725
계속영업 보통주기본주당순이익(손실) (단위 : 원),3949,7441,13305
중단영업 보통주기본주당순이익(손실) (단위 : 원),5,(801),"(7,580)"
우선주기본주당순이익(손실) (단위 : 원),4004,6690,5775
계속영업 우선주기본주당순이익(손실) (단위 : 원),3999,7491,13355
중단영업 우선주기본주당순이익(손실) (단위 : 원),5,(801),"(7,580)"
