Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
당기순이익,524667990,686845690,806961658
당기 세후 기타포괄손익,83958256,46106572,753684763
당기손익으로 재분류되지 않는 항목,,,
기타포괄손익-공정가치 측정 지분상품 평가손익,49405629,"(377,089,584)",165590034
공동지배기업 및 관계기업 기타포괄손익 등에 대한 지분,"(71,934,033)","(103,518,622)",32927259
확정급여제도의 재측정손익(세후기타포괄손익),"(69,745,893)",72994345,"(24,683,777)"
후속적으로 당기손익으로 재분류되는 항목,,,
공동지배기업 및 관계기업 기타포괄손익 등에 대한 지분,37162387,136862399,49835456
해외사업환산손익,164598911,284616917,549070860
파생상품평가손익,"(25,528,745)",32241117,"(19,055,069)"
당기 총포괄손익,608626246,732952262,1560646421
총포괄손익의 귀속,,,
지배주주의 소유주,252989382,245147065,425821849
비지배지분,355636864,487805197,1134824572
