Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,9133867,9426160,10745920
매출원가,7901658,8280248,9690127
매출총이익,1232209,1145912,1055793
판매비와관리비,994926,968360,925414
영업이익,237283,177552,130379
금융수익,136926,253228,188660
금융원가,292689,342149,264508
기타영업외수익,35334,66088,97206
기타영업외비용,37411,46286,36915
지분법손실,"(8,699)","(3,323)",(9)
법인세차감전 계속영업이익,70744,105110,114813
계속영업법인세비용,9353,8515,47344
계속영업연결당기순이익,61391,96595,67469
중단영업손실,"(55,932)","(5,830)",36071
연결당기순이익,5459,90765,103540
연결당기순이익,,,
지배기업소유주지분,(711),86440,98672
비지배지분,6170,4325,4868
기타포괄손익,"(40,923)","(5,542)",75341
후속적으로 당기손익으로 재분류되지 않는 항목,"(42,147)","(9,688)",48592
순확정급여부채의 재측정요소,"(28,853)",26351,3385
기타포괄손익-공정가치 측정 금융자산 평가이익(손실),"(13,323)","(36,061)",44817
해외사업환산이익(손실),29,22,390
후속적으로 당기손익으로 재분류되는 항목,1224,4146,26749
지분법자본변동,651,836,892
파생상품평가이익(손실),(997),789,1943
해외사업환산이익(손실),1570,2521,23914
연결당기총포괄이익,"(35,464)",85223,178881
연결당기총포괄이익,,,
지배기업소유주지분,"(41,643)",79403,173490
비지배지분,6179,5820,5391
주당손익,,,
보통주 기본주당손익 (단위 : 원),(4),395,451.0
보통주 기본주당계속영업손익 (단위 : 원),262,288,254
보통주 희석주당손익 (단위 : 원),(4),395,451.0
보통주 희석주당계속영업손익 (단위 : 원),262,288,254.00
