Accounts,2023.12.31
자산,
유동자산,360687785576
현금및현금성자산,65480880242
기타금융자산,7294542317
매출채권및기타채권,253627489766
기타유동자산,2780513844
재고자산,31241312227
당기법인세자산,263047180
비유동자산,1494384354180
기타금융자산,27402905229
매출채권및기타채권,8311804
공정가치측정금융자산,48094499780
투자부동산,109047142433
유형자산,1120973239674
무형자산,7468844261
사용권자산,181184008064
기타비유동자산,205402935
자산총계,1855072139756
부채,
유동부채,577680227051
매입채무및기타채무,363187597916
단기차입금,45000000000
기타금융부채,59110022573
충당부채,1341918266
기타유동부채,109040688296
비유동부채,448727353453
기타금융부채,313506509744
종업원급여부채,58956773513
충당부채,4330974146
이연법인세부채,71933096050
부채총계,1026407580504
자본,
지배기업의 소유주에게 귀속되는 자본,828664559252
자본금,98382040000
자본잉여금,777343756195
이익결손금,"(31,454,138,266)"
자본조정,"(230,014,326)"
기타포괄손익누계액,"(15,377,084,351)"
비지배지분,0
자본총계,828664559252
자본과부채총계,1855072139756
