Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
Ⅰ.영업이익,802827,765041,903490
1.순이자손익 (주32),1895298,1798005,1799153
이자수익,2840691,2508702,2306053
이자비용,"(945,393)","(710,697)","(506,900)"
2.순수수료손익 (주33),795241,537073,461637
수수료수익,2070601,1758461,1618369
수수료비용,"(1,275,360)","(1,221,388)","(1,156,732)"
3.배당수익 (주34),611,415,430
4.당기손익-공정가치측정금융자산관련손익 (주11),22428,19867,10544
5.파생상품관련손익 (주12),69041,191068,216006
파생상품관련이익,81106,234298,224689
파생상품관련손실,"(12,065)","(43,230)","(8,683)"
6.외환거래손익 (주7),"(40,238)","(160,792)","(188,036)"
외환거래이익,55821,76101,38807
외환거래손실,"(96,059)","(236,893)","(226,843)"
7.신용손실충당금전입 (주35),"(883,956)","(560,265)","(442,669)"
8.일반관리비 (주36),"(744,161)","(741,626)","(749,337)"
종업원관련비용,"(432,085)","(418,759)","(444,319)"
감가상각비,"(73,325)","(63,942)","(67,492)"
기타관리비,"(238,751)","(258,925)","(237,526)"
9.기타영업손익 (주37),"(311,437)","(318,704)","(204,238)"
기타영업수익,305218,162205,160700
기타영업비용,"(616,655)","(480,909)","(364,938)"
Ⅱ.영업외손익 (주38),3204,64575,4505
1.영업외수익,17523,77215,15797
2.영업외비용,"(14,319)","(12,640)","(11,292)"
Ⅲ.관계기업손익에 대한 지분,"(2,831)",7115,"(1,109)"
Ⅳ.법인세비용차감전순이익,803200,836731,906886
Ⅴ.법인세비용 (주39),"(181,292)","(192,176)","(230,589)"
Ⅵ.당기순이익,621908,644555,676297
Ⅶ.기타포괄손익,"(38,894)",26558,33793
1.당기손익으로 재분류되지 않는 항목,,,
"확정급여제도의 재측정요소 (주24,27)","(21,965)",30554,409
"기타포괄손익-공정가치측정금융자산관련손익 (주7,27)",1969,6047,5474
2.당기손익으로 재분류되는 항목,,,
기타포괄손익-공정가치측정금융자산관련손익,10864,"(17,031)",(863)
"현금흐름위험회피파생상품평가손익 (주12,27)","(26,712)","(12,452)",22740
해외사업환산손익 (주27),"(3,050)",19440,6033
Ⅷ.총포괄손익,583014,671113,710090
Ⅸ.당기순이익(손실)의 귀속,,,
1.지배기업 소유주지분 (주30),620582,641368,674997
2.비지배지분,1326,3187,1300
Ⅹ.총포괄이익의 귀속,,,
1.지배기업 소유주지분,581882,666304,708892
2.비지배지분,1132,4809,1198
ⅩⅠ.주당이익 (주30),,,
1.기본 및 희석주당이익 (단위 : 원),4710,5015,5384
