Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,175835195008.0,146563267808.0,112078834668.0
현금및현금성자산,6538710355.0,405542068.0,738277574.0
매출채권,43853930471.0,38672284453.0,27518475199.0
단기금융상품,,,
선급금,1470949322.0,1520543737.0,2165994265.0
기타채권,11397298055.0,5565942371.0,5615706744.0
선급법인세,1624888049.0,1387637562.0,375310712.0
유동재고자산,110395598120.0,98247329269.0,75049401266.0
기타유동자산,553820636.0,763988348.0,615668908.0
파생상품자산,,,
비유동자산,93972511001.0,96170857561.0,87640037055.0
장기금융상품,217411601.0,132177666.0,67133533.0
비유동 당기손익-공정가치 측정 금융자산,272688000.0,272688000.0,272688000.0
투자부동산,6568354338.0,,
장기기타채권,1639413042.0,1985447942.0,1245440222.0
이연법인세자산,366036291.0,591392477.0,1225208495.0
유형자산,82993222783.0,91238480410.0,83550272375.0
무형자산,1915384946.0,1950671066.0,1279294430.0
기타비유동자산,,,
자산총계,269807706009.0,242734125369.0,199718871723.0
부채,,,
유동부채,171686405846.0,145780399939.0,112159700132.0
매입채무 및 기타유동채무,165545752389.0,139069851433.0,104724506924.0
단기매입채무,45768103564.0,37869525468.0,30803063066.0
유동 차입금,76575590618.0,59534231627.0,39322210574.0
단기미지급금,4807819195.0,4752003675.0,9791482651.0
단기선수금,38394239012.0,36914090663.0,24807750633.0
미지급법인세,187485150.0,43443943.0,1076493349.0
기타 유동부채,2743153118.0,1110505769.0,398017922.0
유동 당기손익-공정가치 측정 금융부채,,,67745769.0
비유동차입금의 유동성 대체 부분,2166666669.0,4478000000.0,5019457270.0
유동충당부채,919093073.0,856067565.0,652580150.0
유동 리스부채,124255447.0,222531229.0,220898748.0
비유동부채,11655213123.0,13442185696.0,9223125881.0
장기차입금,8261604648.0,9171131587.0,5437881697.0
퇴직급여부채,2778730869.0,3973808183.0,3307610315.0
기타비유동금융부채,335966112.0,297245926.0,255102640.0
기타 비유동 부채,,,
비유동 리스부채,278911494.0,,222531229.0
부채총계,183341618969.0,159222585635.0,121382826013.0
자본,,,
지배기업의 소유주에게 귀속되는 자본,85740382138.0,82569315849.0,77422650458.0
납입자본,5000000000.0,5000000000.0,5000000000.0
초과납입자본,8200751000.0,8200751000.0,8200751000.0
이익잉여금(결손금),69893543032.0,68878145846.0,63883440181.0
기타자본구성요소,2646088106.0,490419003.0,338459277.0
비지배지분,725704902.0,942223885.0,913395252.0
자본총계,86466087040.0,83511539734.0,78336045710.0
자본과부채총계,269807706009.0,242734125369.0,199718871723.0
