Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,37846569200,33331831019,32007856923
현금및현금성자산,5119118060,11392635656,19094648721
단기금융상품,60000000,523535443,210513076
매출채권,14054438567,11671675125,1516428814
계약자산,169161731,197710225,226429172
단기기타채권,8855637556,1938296327,2990090108
기타유동자산,690913585,697038493,2035910970
당기법인세자산,26202180,66204302,51599940
재고자산,7852097230,6844735448,3250018411
파생상품자산,520935485,,2632217711
매각예정자산,498064806,,
비유동자산,34641074183,40857084070,51953396410
장기금융상품,,,18000000
장기기타채권,731696395,6080921926,7063040377
상각후원가 측정 금융자산,,,8715947904
당기손익-공정가치측정 금융자산,388483452,69203572,13762842451
관계기업투자,,162878920,38754573
유형자산,26643018459,16997907489,881892256
무형자산,5051070842,14922863461,20329600238
사용권자산,1826805035,2580311792,1143318611
순확정급여자산,,42996910,
자산총계,72487643383,74188915089,83961253333
부채,,,
유동부채,33306606180,37834238608,32368868182
매입채무,6551877587,4525658697,2955917626
계약부채,97518937,219935955,133208591
매각예정부채,335466118,,
단기차입금,12408312359,10098227580,1150094531
유동성 장기차입부채,,99960000,
전환사채,8196263762,16042300430,14869664485
리스부채,402128476,485910148,336422711
파생상품금융부채,3665360935,3582845804,8944658597
단기기타채무,841652140,1505011852,855377336
당기법인세부채,33207208,46714439,
기타 유동부채,774818658,1227673703,3123524305
비유동부채,6126879230,7079413293,433854403
전환사채,1838997061,,
장기차입금,,191590000,
리스부채,889899014,400616884,276519682
이연법인세부채,3384681873,6361206409,
장기기타채무,13301282,126000000,157334721
부채총계,39433485410,44913651901,32802722585
자본,,,
지배기업의 소유주에게 귀속되는 자본,33054157973,29275263188,41123928964
자본금,37829675000,26743166500,15541754200
기타불입자본,100553781232,78017774164,64770318264
기타포괄손익누계액,2197100986,1878198778,"(12,918,769)"
이익잉여금(결손금),"(107,526,399,245)","(77,363,876,254)","(39,175,224,731)"
비지배지분,,,10034601784
자본총계,33054157973,29275263188,51158530748
자본과부채총계,72487643383,74188915089,83961253333
