Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),480111639417,588039209962,418366537537
매출원가,426811790558,464049394111,326210936788
매출총이익,53299848859,123989815851,92155600749
판매비와관리비,123302583331,130703821642,108556643680
영업이익(손실),"(70,002,734,472)","(6,714,005,791)","(16,401,042,931)"
기타이익,9439467194,22582639239,9945210157
기타손실,101472639174,18792290730,9001706007
금융수익,78395801298,110603636391,6690371769
금융원가,29417572993,19904060214,14312445071
관계기업등 투자손익,1836627150,"(3,898,195,231)","(2,979,677,692)"
법인세비용차감전순이익(손실),"(111,221,050,997)",83877723664,"(26,059,289,775)"
법인세비용(수익),"(1,762,885,115)","(10,668,433,924)",3092980828
계속영업이익(손실),"(109,458,165,882)",94546157588,"(29,152,270,603)"
당기순이익(손실),"(109,458,165,882)",94546157588,"(29,152,270,603)"
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),"(98,472,032,154)",77578672683,"(39,680,238,659)"
계속영업이익(손실),"(98,472,032,154)",77578672683,"(39,680,238,659)"
비지배지분에 귀속되는 당기순이익(손실),"(10,986,133,728)",16967484905,10527968056
계속영업이익(손실),"(10,986,133,728)",16967484905,10527968056
기타포괄손익,526126381,4724130724,4850187426
당기손익으로 재분류되지 않는항목(세후기타포괄손익),"(342,539,345)",1708436173,343977725
확정급여제도의 재측정손익(세후기타포괄손익),"(342,539,345)",1708436173,343977725
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),868665726,3015694551,4506209701
당기손익-공정가치금융부채평가손익,,2389815,186405562
해외사업장환산외환차이(세후기타포괄손익),822144750,2868292219,3683249684
지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),46520976,145012517,636554455
총포괄손익,"(108,932,039,501)",99270288312,"(24,302,083,177)"
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분","(97,894,859,589)",82264228576,"(34,888,489,368)"
"포괄손익, 비지배지분","(11,037,179,912)",17006059736,10586406191
주당이익,,,
기본주당이익(손실) (단위 : 원),"(4,330.00)",3399.0,"(1,721.00)"
계속영업기본주당이익(손실) (단위 : 원),"(4,330.0)",3399,"(1,721.0)"
희석주당이익(손실) (단위 : 원),"(4,330.00)",3399.0,"(1,721.00)"
계속영업희석주당이익(손실) (단위 : 원),"(4,330.0)",3399,"(1,721.0)"
