Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,28454835936.0,33538487705.0,41097694118.0
현금및현금성자산,3763088888.0,3867614962.0,5001420605.0
단기금융상품,3528366800.0,5180000000.0,14210000000.0
매출채권 및 기타유동채권,7779975957.0,8754155839.0,8186850578.0
유동재고자산,12970639186.0,15547352225.0,13389946088.0
기타유동금융자산,79193001.0,77177247.0,113618026.0
기타유동자산,116155114.0,112187432.0,195858821.0
당기법인세자산,217416990.0,0.0,0.0
비유동자산,34689490938.0,36082073185.0,38856364607.0
장기금융상품,4000000.0,4000000.0,1724000000.0
유형자산,32779994833.0,34156049047.0,35322360229.0
무형자산,234691087.0,242415527.0,284483300.0
사용권자산,376728924.0,174008456.0,182207224.0
기타비유동금융자산,100248663.0,97157346.0,121273810.0
이연법인세자산,1193827431.0,1089866611.0,910333255.0
순확정급여자산,0.0,318576198.0,311706789.0
자산총계,63144326874.0,69620560890.0,79954058725.0
부채,,,
유동부채,8811368809.0,12189671565.0,14994981756.0
매입채무 및 기타유동채무,4914167157.0,8373599623.0,9601195677.0
유동 차입금,723360000.0,725760000.0,745040000.0
유동성장기부채,2000000000.0,2000000000.0,2900000000.0
유동 리스부채,218592382.0,97145491.0,110845156.0
기타 유동부채,701063343.0,613342799.0,731587106.0
유동판매보증충당부채,254185927.0,270187769.0,267716401.0
당기법인세부채,0.0,109635883.0,638597416.0
비유동부채,7985225184.0,9871913477.0,17185328025.0
장기차입금,7500000000.0,9500000000.0,16675000000.0
비유동 리스부채,160610831.0,79025701.0,70522791.0
기타비유동금융부채,64150000.0,141337500.0,80644000.0
기타 비유동 부채,144731174.0,151550276.0,359161234.0
순확정급여부채,115733179.0,0.0,0.0
부채총계,16796593993.0,22061585042.0,32180309781.0
자본,,,
지배기업의 소유주에게 귀속되는 자본,46347732881.0,47558975848.0,47773748944.0
자본금,4162210000.0,4162210000.0,4162210000.0
자본잉여금,8909202314.0,8909202314.0,8909202314.0
기타포괄손익누계액,541263580.0,396936933.0,283572546.0
이익잉여금(결손금),32735056987.0,34090626601.0,34418764084.0
비지배지분,0.0,0.0,0.0
자본총계,46347732881.0,47558975848.0,47773748944.0
자본과부채총계,63144326874.0,69620560890.0,79954058725.0
