Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
현금및예치금,23637007,25127794,25164991
당기손익-공정가치측정금융자산,19700714,21213408,18834364
파생금융자산,5038961,7767592,2965626
상각후원가측정대출채권,385404070,374671976,361144701
투자금융자산,78350848,75250169,63744909
관계기업투자,589311,529981,390957
유형자산,3768598,3837511,3933943
투자부동산,347480,345156,325065
무형자산,1019673,1054696,1028494
순확정급여자산,228565,307749,0
당기법인세자산,228880,192041,61314
이연법인세자산,249512,181257,149869
매각예정자산,208229,211757,237318
기타자산,11241005,7078425,5583347
자산총계,530012853,517769512,483564898
부채와 자본,,,
부채,,,
당기손익-공정가치측정금융부채,93438,108862,112698
파생금융부채,4445352,7271434,2749412
예수부채,393246702,381746749,363141416
차입부채,34990075,45073117,32523161
사채,31811407,29787722,29718734
충당부채,929594,533370,426867
순확정급여부채,7841,16243,155284
당기법인세부채,38545,63029,57281
이연법인세부채,502992,153844,701561
기타부채,27398180,19291883,21089571
부채총계,493464126,484046253,450675985
자본,,,
지배기업주주지분,36373042,33768024,32677631
자본금,2021896,2021896,2021896
신종자본증권,1282935,873850,574523
자본잉여금,4735404,5025335,5025335
기타포괄손익누계액,614395,12751,1395156
이익잉여금,27718412,25834192,23660721
대손준비금 적립금액,"(3,018,015)","(2,915,162)","(2,534,401)"
대손준비금 전입(환입) 예정금액,221216,"(102,853)","(380,761)"
비지배지분,175685,"(44,765)",211282
자본총계,36548727,33723259,32888913
부채와자본총계,530012853,517769512,483564898
