Accounts,2023.09.01~2023.12.31
매출액,28310433178
매출원가,25654767499
매출총이익,2655665679
판매비와관리비,808659467
영업이익,1847006212
기타수익,217991569
기타비용,65658999
금융수익,52713441
금융비용,597994759
법인세차감전순이익,1454057464
법인세비용,16801338
당기순이익,1437256126
기타포괄손익,"(461,475,976)"
후속적으로 당기손익으로 재분류되지 않는 항목,
표시통화환산손익,"(461,475,976)"
후속적으로 당기손익으로 재분류되는 항목,
총포괄이익,975780150
주당이익,
기본주당이익 (단위 : 원),201.0
희석주당이익 (단위 : 원),200.0
