Accounts,2023.12.31
자산,
유동자산,23994396545
현금및현금성자산,4311608852
매출채권,14323988517
기타채권,172286469
재고자산,1492180328
기타유동자산,3694332379
비유동자산,49939886784
유형자산,39761940283
무형자산,15200000
사용권자산,10162746501
자산총계,73934283329
부채,
유동부채,24246702945
매입채무및기타채무,7755962906
유동성장기부채,3997140000
리스부채,5747865065
기타 유동부채,6729358975
당기법인세부채,16375999
비유동부채,19248234117
장기차입금,14892570000
리스부채,4355664117
부채총계,43494937062
자본,
지배기업의 소유주에게 귀속되는 지분,30439346267
자본금,17927580000
자본잉여금,"(2,572,675,343)"
자기주식,"(861,948,287)"
기타자본,15000000000
기타포괄손익누계액,"(490,866,229)"
이익잉여금,1437256126
자본총계,30439346267
자본과부채총계,73934283329
