Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,490272111,600113682,554965102
현금및현금성자산,73836347,92802215,164414533
"유동 당기손익인식금융자산, 의무적으로 측정된 공정가치",71359759,26065856,49940618
기타포괄손익-공정가치 측정 유동금융자산,3008790,0,0
유동매출채권,281074866,366527340,183405286
단기미수금,6017441,12903855,6070865
단기미수수익,149340,542697,196812
유동계약자산,0,1301235,581797
단기대여금,416299,458170,305178
유동파생상품자산,286955,3127936,716943
기타유동금융자산,17696959,41881696,18899000
기타유동자산,2096285,5600839,6673162
유동재고자산,27782169,48400886,122435453
당기법인세자산,688783,500957,1325455
매각예정 또는 소유주에 대한 분배예정으로 분류된 비유동자산이나 처분자산집단,5858118,0,0
비유동자산,867767370,891280119,868037436
"비유동 당기손익인식금융자산, 의무적으로 측정된 공정가치",259615591,293035265,248362281
기타포괄손익-공정가치 측정 비유동금융자산,0,2948040,0
지분법적용 투자지분,3571213,7919405,10171768
장기대여금,4739426,3856960,3606600
기타비유동자산,167192,0,0
기타비유동금융자산,2000,2000,47650560
유형자산,491057774,489105398,472272333
사용권자산,33279073,35315345,37637510
영업권 이외의 무형자산,40837886,24215589,16131897
투자부동산,476209,718117,706690
장기보증금자산,2265199,2796239,2622095
퇴직급여운용자산/퇴직연금운용자산,11262470,9975144,3273016
이연법인세자산,20493337,21392617,25602686
자산총계,1358039481,1491393801,1423002538
부채,,,
유동부채,533767322,670344420,422155970
단기매입채무,331961646,321497333,201359246
유동계약부채,13640937,37047828,20786913
단기미지급금,25142930,43366027,17811644
단기예수금,9149324,7742372,5288870
단기미지급비용,18762280,9894644,14092379
당기법인세부채,11463238,7950313,27927837
유동 차입금,15000000,15000000,6644124
비유동차입금의 유동성 대체 부분,18248160,40068760,44403748
유동성사채,79963017,179833781,69965688
유동성금융리스부채,3714727,6192615,6104488
단기선수금,0,0,2790
유동충당부채,887348,1142102,1092169
유동파생상품부채,109497,608645,6676074
매각예정으로 분류된 처분자산집단에 포함된 부채,5724218,0,0
비유동부채,321262906,301510720,467288550
장기차입금,29124460,43472620,71211380
비유동 사채의 비유동성 부분,79878790,49876653,179651512
비유동금융리스부채,32676410,33497942,36308166
퇴직급여부채,1978923,1580508,2087037
이연법인세부채,48315838,50654308,62179283
비유동계약부채,128147463,121307555,114643440
장기임대보증금,456477,461477,461477
비유동종업원급여충당부채,684545,659657,746255
부채총계,855030228,971855140,889444520
자본,,,
지배기업의 소유주에게 귀속되는 자본,466545425,480639395,490306564
자본금,30000000,30000000,30000000
보통주자본금,30000000,30000000,30000000
자본잉여금,48327260,48327260,45087225
주식발행초과금,39600000,39600000,39600000
기타자본잉여금,8727260,8727260,5487225
기타자본구성요소,"(48,603,200)","(48,509,295)","(48,509,295)"
자기주식,"(47,955,691)","(47,955,691)","(47,955,691)"
기타자본조정,"(647,509)","(553,604)","(553,604)"
기타포괄손익누계액,"(118,995)","(179,745)","(117,855)"
지분법기타포괄손익변동,"(117,855)","(117,855)","(117,855)"
기타포괄손익-공정가치 측정 금융자산 평가손실 적립금,"(1,140)","(61,890)",0
이익잉여금,436940360,451001175,463846489
기타법정적립금,15000000,15000000,15000000
임의적립금,4653171,4653171,4653171
미처분이익잉여금(미처리결손금),417287189,431348004,444193318
비지배지분,36463828,38899266,43251454
자본총계,503009253,519538661,533558018
자본과부채총계,1358039481,1491393801,1423002538
