Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
영업수익,1430505844,1470167011,1290005562.0
매출원가,1219598064,1323561342,1087177785.0
매출총이익,210907780,146605669,202827777.0
투자자산에 대한 지분법이익,769235,239239,17363.0
판매비와관리비,154190507,145385380,136688314.0
영업이익(손실),57486508,1459528,66156826.0
기타이익,5544837,4262932,4770794.0
기타손실,3423949,1485958,2204916.0
금융수익,6143077,16676260,15628652.0
금융원가,18748289,28066059,30128050.0
관계기업에 대한 지분법이익,45930,17126,1613756.0
관계기업/공동기업투자손상차손환입,230937,1298799,0.0
관계기업/공동기업투자처분이익,5608346,0,1106496.0
법인세비용차감전순이익(손실),52887397,"(5,837,372)",56943558.0
법인세비용(수익),16168134,834141,35439060.0
계속영업이익(손실),36719263,"(6,671,513)",21504498.0
중단영업이익(손실),"(2,665,891)",4201788,5053070.0
당기순이익(손실),34053372,"(2,469,725)",26557568.0
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),23636692,"(9,964,568)",21605447.0
비지배지분에 귀속되는 당기순이익(손실),10416680,7494843,4952121.0
기타포괄손익,"(1,681,277)",6817432,2272028.0
당기손익으로 재분류 되지않는 세후기타포괄손익,,,
확정급여제도의 재측정손익(세후기타포괄손익),"(1,742,027)",6879322,232948.0
당기손익으로 재분류되는 세후기타포괄손익,,,
기타포괄손익-공정가치로 측정되는 금융자산의 세후차손익,60750,"(61,890)",0.0
외화환산외환차이의 세후차익(차손),0,0,2039080.0
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",22259142,"(3,309,179)",23948638.0
"포괄손익, 비지배지분",10112953,7656886,4880958.0
주당이익,,,
기본주당이익(손실) (단위 : 원),,,
계속영업기본주당이익(손실) (단위 : 원),6166,"(3,293)",4538.0
중단영업기본주당이익(손실) (단위 : 원),(625),957,527.0
희석주당이익(손실) (단위 : 원),,,
계속영업희석주당이익(손실) (단위 : 원),6166,"(3,293)",4538.0
중단영업희석주당이익(손실) (단위 : 원),(625),957,527.0
