Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
순이자이익,7917411,7608677,6150597
이자수익,19793063,13347231,8786664
기타포괄손익-공정가치측정 및 상각후원가측정금융상품이자수익,19617392,13282377,8746993
당기손익-공정가치측정금융상품이자수익,175671,64854,39671
이자비용,"(11,875,652)","(5,738,554)","(2,636,067)"
순수수료이익,661464,593612,552794
수수료수익,931532,874721,837656
수수료비용,"(270,068)","(281,109)","(284,862)"
순당기손익-공정가치측정금융상품이익,491748,124701,548567
순헤지목적파생상품손익,26336,"(63,551)","(47,686)"
순기타포괄손익-공정가치측정금융자산이익,84433,2162,79260
순상각후원가측정금융자산이익,232,4,20
신용손실충당금전입액,"(658,307)","(657,649)","(243,339)"
일반관리비,"(3,448,610)","(3,318,831)","(2,973,063)"
기타영업수익,7934269,7615689,4791160
기타영업비용,"(8,403,458)","(7,838,212)","(5,439,873)"
영업이익,4605518,4066602,3418437
영업외이익(손실),7565,104884,60037
영업외수익,222566,267293,237853
지분법이익,179345,221832,136687
기타수익,43221,45461,101166
영업외비용,"(215,001)","(162,409)","(177,816)"
지분법손실,"(11,232)","(32,819)","(9,015)"
기타 비용,"(203,769)","(129,590)","(168,801)"
법인세비용차감전순이익,4613083,4171486,3478474
법인세비용,"(1,125,650)","(1,059,787)","(902,728)"
연결당기순이익,3487433,3111699,2575746
당기순이익의 귀속,,,
지배기업소유주,3476636,3095845,2570361
대손준비금 반영후 조정이익,3589342,3119771,2282608
비지배지분,10797,15854,5385
기타포괄손익,521365,"(663,519)",140698
후속적으로 당기손익으로 재분류되는 항목,,,
기타포괄손익-공정가치측정채무증권평가손익,570926,"(578,842)","(313,699)"
해외사업장환산손익,70733,"(2,710)",281829
관계기업투자주식자본변동,"(8,766)",1675,171904
해외사업장순투자위험회피평가손익,"(22,096)","(20,529)","(40,788)"
후속적으로 당기손익으로 재분류되지 않는 항목,,,
확정급여제도의재측정요소,"(148,717)",6395,47643
기타포괄손익-공정가치측정지분증권평가손익,59086,"(57,920)",8639
관계기업투자주식자본변동,199,273,(692)
공정가치 위험회피수단 평가손익,,"(11,861)","(14,138)"
연결총포괄이익,4008798,2448180,2716444
포괄손익의 귀속,,,
지배기업소유주,3989094,2443568,2693704
비지배지분,19704,4612,22740
주당이익,,,
기본주당이익 (단위 : 원),3221,2866,2389
희석주당이익 (단위 : 원),3221,2866,2389
