Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,9647760,9205981,8377423
현금및현금성자산,1963279,1310326,1945526
매출채권,2307545,2303579,1970996
기타채권,321176,136358,124776
기타금융자산,11002,151011,11051
파생상품자산,3785,16343,1248
재고자산,4639174,4733160,3545340
기타유동자산,401799,555204,778486
비유동자산,11928363,10407154,10315812
기타채권,98651,87786,80501
기타금융자산,99393,71422,69440
공동기업 및 관계기업투자,40935,36002,37823
유형자산,11152018,9588032,9564839
무형자산,115597,106418,108370
투자부동산,136065,136065,136065
기타비유동자산,161448,209202,275369
순확정급여자산,124256,172227,43405
자산총계,21576123,19613135,18693235
부채,,,
유동부채,9254520,8213158,8505027
매입채무,3989487,3172420,3075770
기타채무 합계,1336944,864996,572386
차입금,2782305,2528886,2818825
파생상품부채,2149,312,2210
당기법인세부채,145307,651723,126297
충당부채,31679,4818,14627
계약부채,15365,16676,18431
기타유동부채,951284,973327,1876481
비유동부채,3284038,2916508,3200166
기타채무,197046,226309,255349
차입금,2836691,2426761,2736087
이연법인세부채,250301,263438,208730
부채총계,12538558,11129666,11705193
자본,,,
지배기업의 소유주에게 귀속되는 자본,9037565,8483469,6988042
자본금,291512,291512,291512
주식발행초과금,379190,379190,379190
적립금,989140,986123,985474
자기주식,"(1,876)","(1,876)","(1,876)"
이익잉여금,7379599,6828520,5333742
자본총계,9037565,8483469,6988042
부채와자본총계,21576123,19613135,18693235
