Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
현금및예치금,1902775,2080002,2916337
당기손익-공정가치측정금융자산,1864678,1159985,966379
기타포괄손익-공정가치측정금융자산,3670873,2846548,2999393
위험회피목적파생상품자산,1410,3813,0
상각후원가측정유가증권,3525113,3494657,2783766
"종속기업, 공동기업과 관계기업에 대한 투자자산",160793,55191,31379
상각후원가측정대출채권,49266405,47145143,43848234
리스자산,948428,1296735,1546594
유형자산,744845,406399,383408
사용권자산,42356,43042,44430
무형자산,196822,167583,145170
투자부동산,47974,48065,37562
순확정급여자산,86184,104704,38179
이연법인세자산,55184,87889,66725
기타자산,890130,888409,588081
자산총계,63403970,59828165,56395637
자본과 부채,,,
부채,,,
예수부채,42958124,41857838,40049921
당기손익-공정가치측정금융부채,18569,10117,294
위험회피목적파생상품부채,2161,1655,449
차입부채,2747637,2338286,2144630
사채,10616595,9231289,8216889
충당부채,96216,43393,32399
당기법인세부채,88370,125015,116076
기타부채,1760348,1457559,1508292
부채총계,58288020,55065152,52068950
자본,,,
지배주주지분,5002763,4577066,4157415
자본금,984914,984914,984914
신종자본증권,405000,403000,403000
자본잉여금,704368,704916,704916
자본조정,"(46,098)","(16,334)","(16,334)"
기타포괄손익누계액,"(28,654)","(82,768)","(59,840)"
이익잉여금,2983233,2583338,2140759
비지배지분,113187,185947,169272
자본총계,5115950,4763013,4326687
자본과부채총계,63403970,59828165,56395637
