Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
수익(매출액),1332349884,1378075519,1261349333
매출원가,1193106252,1246438976,1125462429
매출총이익,139243632,131636543,135886904
판매비와관리비,92026722,93585421,93835068
영업이익(손실),47216910,38051122,42051836
금융수익,23783347,29301167,13380710
금융원가,27118716,32086842,12227775
기타이익,18623172,36075536,5788659
기타손실,19178144,35958713,20563426
"종속기업, 공동지배기업과 관계기업으로부터의 기타이익(비용)","(1,184,639)",,
관계기업투자손실,"(19,253)",999003,1195953
법인세비용차감전순이익(손실),42161183,34383267,27234051
법인세비용(수익),9656548,8870737,7043069
당기순이익(손실),32504635,25512530,20190982
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),32573495,25543443,20172602
비지배지분에 귀속되는 당기순이익(손실),"(68,860)","(30,913)",18380
기타포괄손익,"(4,233,081)",10263156,6130943
당기손익으로 재분류될 수 있는 항목(세후기타포괄손익),"(144,206)","(43,097)",2397216
해외사업장환산외환차이(세후기타포괄손익),"(144,206)","(43,097)",2481613
재평가잉여금,,,"(84,397)"
당기손익으로 재분류되지 않는항목(세후기타포괄손익),"(4,088,875)",10306253,3733727
"세후기타포괄손익, 지분상품에 대한 투자자산","(1,338,377)",4522889,2072650
재평가잉여금,"(672,451)",2311982,
확정급여제도의 재측정손익(세후기타포괄손익),"(2,078,047)",3471382,1644319
관계기업확정급여제도의 재측정손익(세후기타포괄손익),,,16758
총포괄손익,28271554,35775686,26321925
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분",28340414,35803834,26302782
"포괄손익, 비지배지분","(68,860)","(28,148)",19143
주당이익,,,
기본주당이익(손실) (단위 : 원),354,276,220
희석주당이익(손실) (단위 : 원),354,276,220
