Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,232863674296,202958033834,232010360221
건설계약매출,232271499815,197826839980,228443481840
제품매출,,4673577500,3220474500
임대매출,592174481,457616354,346403881
매출원가,216497028306,188518181911,220011987147
건설계약매출원가,216101317501,184106637594,216925774599
제품매출원가,,4204693633,2908945627
임대매출원가,395710805,206850684,177266921
매출총이익,16366645990,14439851923,11998373074
판매비와관리비,13875936595,11755289167,12710088524
급여,5036781412,4278771058,3605470472
퇴직급여,436095814,399174114,432007477
수도광열비,45333048,46982557,34338880
운반보관비,3400307,3128360,11052677
수선비,23051488,8901019,19074387
지급임차료,187473883,144471907,142245511
차량유지비,64334392,74582133,75088805
사무용품비,3310177,6505877,4375493
소모품비,124581449,130406763,202489377
도서인쇄비,16580396,14632000,19134130
세금과공과,825396933,817696998,940131052
보험료,272921049,195572045,248018700
접대비,410759351,447718607,349594856
복리후생비,978187562,731357990,756007627
여비교통비,244411658,193604820,111444110
통신비,24281956,41938532,23407027
지급수수료,1918895136,2005789681,1659929681
광고선전비,,19683863,21275910
교육훈련비,2950510,5007200,2859140
감가상각비,1250488259,509132105,457685596
사용권자산상각비,774191327,828555446,796325943
무형자산상각비,,318846,10247167
협회비,26082035,29474904,26938340
대손상각비,1186012876,598504342,2077374678
연구개발비,,220732600,678305900
잡비,20415577,2645400,5265588
영업이익(손실),2490709395,2684562756,"(711,715,450)"
기타수익,618300364,2230258191,623961572
외환차익,120372649,25087556,4852387
유형자산처분이익,76540462,289353832,
무형자산손상차손환입,,,39536000
리스부채상환이익,20746800,9692457,3687439
기타의대손상각비환입,86749290,246451913,4021009
중단사업처분이익,,167175554,
기타보상수익,,720000000,
잡이익,313891163,772496879,571864737
기타비용,5324626647,887143151,5166225393
무형자산손상차손,34536000,,
외환차손,57132630,4636872,17082066
기부금,600000,300000,2402940
투자부동산손상차손,,,4846500000
기타의대손상각비,133980375,99816685,215458494
유형자산처분손실,5005204462,6555,
기타보상비용,,698053376,
잡손실,93173180,84329663,84781893
금융수익,765581671,404355135,435518025
이자수익,723009671,311273135,371398025
배당금수익,42572000,93082000,64120000
당기손익금융자산평가이익,,,
금융비용,1174078380,884947865,2739778404
이자비용,1150556380,884947865,1138249168
파생상품평가손실,,,1601529236
당기손익금융자산평가손실,23522000,,
지분법손익,"(79,479,158)","(739,588,764)","(35,039,133)"
법인세비용차감전순이익(손실),"(2,703,592,755)",2807496302,"(7,593,278,783)"
법인세비용(수익),"(429,291,706)",1057833821,"(781,468,515)"
당기순이익(손실),"(2,274,301,049)",1749662481,"(6,811,810,268)"
기타포괄손익,"(247,522,500)",632117374,752756237
후속적으로당기손익으로재분류되지않는포괄손익,"(955,660,989)","(715,847,696)",196149248
확정급여제도의재측정요소,"(961,897,470)",440896611,"(246,672,286)"
기타포괄손익-공정가치측정금융자산평가손익,6236481,"(1,156,744,307)",442821534
후속적으로당기손익으로재분류되는포괄손익,708138489,1347965070,556606989
해외사업환산손익,708138489,1336262119,452330191
이자율스왑평가손익,,11702951,104276798
총포괄손익,"(2,521,823,549)",2381779855,"(6,059,054,031)"
당기순손익의귀속 :,,,
지배기업소유주지분,"(2,276,322,081)",1745834538,"(6,829,149,052)"
비지배지분,2021032,3827943,17338778
총포괄손익의귀속 :,,,
지배기업소유주지분,"(2,523,844,581)",2377951912,"(6,076,392,809)"
비지배지분,2021032,3827943,17338778
주당이익,,,
기본주당이익(손실) (단위 : 원),(130),99,(422)
희석주당이익(손실) (단위 : 원),(130),99,(422)
