Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,2649691893,2768929400,1825176383
매출원가,1939223325,1865117241,1256099703
매출총이익,710468568,903812159,569076680
판매비와관리비,179251271,151380217,154897234
영업이익,531217297,752431942,414179446
금융수익,119732118,60438320,25122303
금융비용,59428812,62730762,35915773
관계기업및공동기업투자손익,37581233,"(7,060,669)","(3,052,047)"
기타영업외수익,5690709,20929098,10247263
기타영업외비용,101842108,10144888,9485678
법인세비용차감전계속사업순이익,532950437,753863041,401095514
계속영업법인세비용,75018108,32791440,"(70,585,732)"
계속영업순이익,457932329,721071601,471681246
중단영업손익,252412306,156684744,180394587
당기순이익(손실),710344635,877756345,652075833
당기순이익(손실)의 귀속,,,
지배회사의 소유주지분,713510158,880285947,647647565
비지배주주지분,"(3,165,523)","(2,529,602)",4428268
주당이익,,,
기본주당이익(손실) (단위 : 원),36540,36941,27387
희석주당이익(손실) (단위 : 원),36540,36941,27387
계속영업기본주당이익(손실) (단위 : 원),23614,30366,19758
계속영업희석주당이익(손실) (단위 : 원),23614,30366,19758
중단영업기본주당이익(손실) (단위 : 원),12926,6575,7629
중단영업희석주당이익(손실) (단위 : 원),12926,6575,7629
