Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
매출액,1626643815820,1711312739533,1537825750251
매출원가,1142011052957,1129508276275,1017232478298
매출총이익,484632762863,581804463258,520593271953
판매비와관리비,450196593327,500540797415,446931651174
영업이익,34436169536,81263665843,73661620779
기타수익,14532115279,59293273496,24279266095
기타비용,16446400186,24679769055,7835644635
금융수익,10850333482,15418918008,21080234027
금융원가,32076186686,27469690983,20159240230
관계기업투자손익,"(38,430,794,162)","(18,098,537,376)",81533049860
법인세비용차감전순손익,"(27,134,762,737)",85727859933,172559285896
법인세비용(수익),"(7,326,031,750)",16313075349,35609406655
계속영업순손익,"(19,808,730,987)",69414784584,136949879241
당기순이익(손실),"(19,808,730,987)",69414784584,136949879241
기타포괄손익,,,
후속적으로 당기손익으로 재분류되는 항목,1725540729,17548190817,"(1,448,783,291)"
관계기업투자평가손익,1715429992,8534337244,"(778,602,922)"
해외사업환산손익,10110737,9013853573,"(670,180,369)"
후속적으로 당기손익으로 재분류되지 않는 항목,14821207727,"(3,366,668,219)",3827176270
확정급여제도의 재측정요소,14954196919,"(4,154,555,347)","(1,057,517,623)"
기타포괄손익-공정가치측정금융자산 평가손익,"(132,989,192)",787887128,4837535575
관계기업투자평가손익,,,47158318
법인세차감후기타포괄손익,16546748456,14181522598,2378392979
총포괄손익,"(3,261,982,531)",83596307182,139328272220
당기순손익의 귀속,,,
지배기업 소유주지분,"(26,631,783,148)",65453133859,123211805902
비지배지분,6823052161,3961650725,13738073339
포괄손익의 귀속,,,
지배기업 소유주지분,"(7,987,108,578)",74664262429,124597894896
비지배지분,4725126047,8932044753,14730377324
주당이익,,,
계속영업기본(희석)주당손익 (단위 : 원),"(2,333)",5735,10796
