Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31
매출액,237778587521,216298480050.0
매출원가,216265412709,197560628558.0
매출총이익,21513174812,18737851492.0
판매비와관리비,15776971388,11038958582.0
영업이익,5736203424,7698892910.0
금융수익,1002380590,310772446.0
금융비용,3191594044,3272554810.0
관계주식투자처분이익,,154448950.0
관계주식투자처분손실,,5321131.0
영업외수익,6177503512,7526267375.0
영영외비용,9937504570,6168283463.0
법인세비용차감전순이익(손실),"(213,011,088)",6244222277.0
법인세비용(수익),1727050212,1579692336.0
당기순이익,"(1,940,061,300)",4664529941.0
지배주주지분순이익,"(2,350,850,102)",4648584680.0
비지배주주지분순이익(손실),410788802,15945261.0
기타포괄손익,28840363,6895240.0
"기타포괄손익-공정가치측정금융자산평가손실 (주9,27)",127669872,6895240.0
해외사업환산손익,98829509,
총포괄이익,"(1,911,220,937)",4671425181.0
지배주주지분포괄이익,"(2,278,696,820)",4655479920.0
비지배주주지분포괄이익(손실),367475883,15945261.0
주당이익,,
기본 및희석주당이익 (단위 : 원),(115),252.0
