Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,912921220598,958080961323,792918296257
현금및현금성자산,231279582315,254185202044,64979758028
유동매출채권,213111489340,204358076194,167151901262
기타 유동채권,10799697546,10608374168,37803589680
기타유동금융자산,107447078343,160346976090,347192746591
유동선급금,79349317633,60953170625,9257789042
선급비용,1447182981,1642391135,883688837
기타유동자산,10627636981,4788574587,0
반환제품회수권,607572587,300520618,70526511
재고자산,258251662872,260897675862,165578296306
비유동자산,1310758376811,1251483824460,1085016732326
비유동매출채권,701825408,687869688,1205493899
기타채권,35537235107,33674244488,34747111970
기타비유동금융자산,26059227654,23626978582,12154895208
장기선급금,82916498672,116521099672,6728025639
장기선급비용,595212168,318300706,214324272
관계기업투자,74959861867,74239228508,69367316914
사용권자산,23983067396,24933222562,23502569452
유형자산,912115284120,858728919072,863560221816
무형자산,66677930787,72760341633,39681477400
투자부동산,69484132713,20310425131,19939179889
순확정급여자산,17728100919,25683194418,13916115867
자산총계,2223679597409,2209564785783,1877935028583
부채,,,
유동부채,322335001511,445261766379,385816175815
단기매입채무,155682049125,155905602121,93557722099
단기차입금,7788324350,145570360850,58781703546
장기차입금의 유동성장기부채로의 대체,2577555200,0,0
유동성사채,19986619062,0,79925799248
기타채무,80444193287,75097648466,104534347379
기타유동금융부채,3939529,123550607,0
기타 유동부채,37219019809,50504771934,8262535245
유동충당부채,1770285836,2829311932,2346777953
당기법인세부채,16863015313,15230520469,38407290345
비유동부채,413329744617,321691270335,103704586128
장기차입금,109774713173,19084463186,0
비유동성사채,199750396111,219583765019,19955488160
기타채무,23019007176,19814784700,18991715714
기타 비유동 부채,13203940911,0,0
확정급여부채,12251592,913533,0
기타장기종업원급여부채,4196957191,2526865657,2536722132
비유동충당부채,21137048122,15492000688,14752672986
이연법인세부채,42235430341,45188477552,47467987136
부채총계,735664746128,766953036714,489520761943
자본,,,
지배기업의 소유주에게 귀속되는 자본,1488013065521,1442609771817,1388414266640
자본금,15970512000,15970512000,15970512000
자본잉여금,1162662119801,1162662119801,1162662119801
자본조정,"(1,113,988,899)","(1,113,988,899)","(1,113,988,899)"
기타포괄손익누계액,"(842,453,160)","(1,928,708,260)","(60,003,945)"
이익잉여금(결손금),311336875779,267019837175,210955627683
비지배지분,1785760,1977252,0
자본총계,1488014851281,1442611749069,1388414266640
자본과부채총계,2223679597409,2209564785783,1877935028583
