Accounts,2023.01.01~2023.12.31,2022.01.01~2022.12.31,2021.01.01~2021.12.31
영업수익,44555995015027,51724286632369,27520756430324
재화의 판매로 인한 수익,43491556950594,50788418565432,26626267737875
용역의 제공으로 인한 수익,637674059029,600215498836,534480596815
건설계약으로 인한 수익,110635691185,113334240390,90407538743
정부보조금수익(매출액),9189976943,9270403070,4723153191
공사부담금수익(매출액),146204922,146316452,608525798
기타수익,306792132354,212901608189,264268877902
매출원가,42598871940722,48828262572044,25859008233158
재화의 판매로 인한 수익에 대한 매출원가,41845904460488,48203353778360,25231326375902
용역의 제공으로 인한 수익에 대한 매출원가,547062766239,427416652183,444643717587
건설계약으로 인한 수익에 대한 매출원가,106938591293,106467086909,88310029488
정부보조금 수익(매출액)에 대한 매출원가,2794401824,3134694805,480565216
기타수익에 대한 매출원가,96171720878,87890359787,94247544965
매출총이익,1957123074305,2896024060325,1661748197166
판매비와관리비,403704216707,432602108280,422048863759
영업이익(손실),1553418857598,2463421952045,1239699333407
기타수익,35557396550,239018348480,35348456476
기타비용,196316365634,95406359005,45797165481
기타이익(손실),"(766,371,243,890)","(187,611,654,353)",548718600472
금융수익,1438081329780,2674908084403,881472358368
금융원가,3030924823546,3503047801428,1472442699191
관계기업과 공동기업 관련 이익,104680960463,353965097977,180335056639
법인세비용차감전순이익(손실),"(861,873,888,679)",1945247668119,1367333940690
법인세비용(수익),"(114,445,255,345)",448239655537,402811801569
당기순이익(손실),"(747,428,633,334)",1497008012582,964522139121
기타포괄손익,209999566712,75135431272,115019574319
후속적으로 당기손익으로 재분류되지 않는 기타포괄손익,101583710059,25521492509,55163214224
확정급여제도의 재측정요소,"(29,573,120,456)",38872530364,43706424227
기타포괄손익-공정가치측정 금융자산의 세후재측정손익,77787785017,"(5,628,877,555)",6196509786
지분법 적용대상 관계기업과 공동기업의 기타포괄손익에 대한 지분(세후기타포괄손익),53369045498,"(7,722,160,300)",5260280211
후속적으로 당기손익으로 재분류되는 기타포괄손익,108415856653,49613938763,59856360095
현금흐름위험회피의세후차손익,35507963121,"(86,807,768,168)","(98,570,519,902)"
현금흐름위험회피의 세후재분류조정,16584104499,2322980247,"(4,596,268,606)"
해외사업환산손익,89895917827,225160977283,217577393429
해외사업장순투자의 위험회피로 인한 손익,"(55,300,429,431)","(176,807,558,412)","(159,667,531,468)"
지분법적용대상인 관계기업과 공동기업의 기타포괄손익에 대한 지분,21728300637,85745307813,105113286642
총포괄손익,"(537,429,066,622)",1572143443854,1079541713440
당기순이익(손실)의 귀속,,,
지배기업의 소유주에게 귀속되는 당기순이익(손실),"(761,211,081,792)",1493102876408,950756750132
비지배지분에 귀속되는 당기순이익(손실),13782448458,3905136174,13765388989
포괄손익의 귀속,,,
"포괄손익, 지배기업의 소유주에게 귀속되는 지분","(553,253,031,449)",1558925799660,1053582233961
"포괄손익, 비지배지분",15823964827,13217644194,25959479479
주당이익,,,
기본주당이익(손실) (단위 : 원),"(8,949)",17317,11078
계속영업기본주당이익(손실) (단위 : 원),"(8,949)",17317,11078
희석주당이익(손실) (단위 : 원),"(8,949)",16174,10973
계속영업희석주당이익(손실) (단위 : 원),"(8,949)",16174,10973
