Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,56039287,93088374,140634664
"현금및현금성자산 (주4,6,7)",53310864,91241592,130114116
"기타유동금융자산 (주4,6,8)",258554,1139929,185819
기타유동자산 (주9),2469869,706853,10334729
비유동자산,14157263,17276499,17127787
유형자산 (주10),3228507,3781173,2850331
사용권자산 (주11),2780906,3633776,4788418
"무형자산 (주12,26,28)",4783447,5171369,5559291
"기타비유동금융자산 (주4,6,8)",1960018,1274879,958838
기타비유동자산 (주9),1404385,3415302,2930584
순확정급여자산,0,0,40325
자산총계,70196550,110364873,157762451
부채,,,
유동부채,9993663,12938708,17217253
"미지급금 (주4,6,26)",2033488,1568137,1276544
"유동성장기리스부채 (주4,11,26)",1049032,1009465,1082918
"기타유동금융부채 (주4,6,13)",5985059,9522688,14073039
기타 유동부채 (주14),926084,838418,784752
비유동부채,2147689,2981865,3858206
"장기리스부채 (주4,11,26)",1981771,2818711,3804987
기타 비유동 부채 (주14),48274,50767,53219
순확정급여부채 (주15),117644,112387,0
부채총계,12141352,15920573,21075459
자본,,,
지배기업의 소유주에게 귀속되는 자본,,,
"자본금 (주1,16)",1978,1977,1972
자본잉여금 (주16),229386941,229341467,228833366
"기타자본항목 (주17,19)",20381686,15825049,11572340
기타포괄손익누계액 (주17),"(528,037)","(464,961)","(151,473)"
이익잉여금(결손금) (주18),"(191,187,370)","(150,259,232)","(103,569,213)"
자본총계,58055198,94444300,136686992
자본과부채총계,70196550,110364873,157762451
