Accounts,2023.12.31,2022.12.31,2021.12.31
자산,,,
유동자산,351804566271,303351742913,249420778222
현금및현금성자산,24580553883,13106724527,8743001678
매출채권,106921561087,95282247187,83625979863
기타유동수취채권,8998644119,5555959065,11088851769
기타유동금융자산,4653733016,1670549760,6105783600
기타유동자산,11548703873,8334015091,6233856788
재고자산,195053827508,179401226423,133623291804
당기법인세자산,47542785,1020860,12720
비유동자산,367099570364,262235426576,252417984718
기타비유동수취채권,3923289368,977081279,771988321
종속기업및관계기업투자,3267787961,3228378911,538214113
기타비유동금융자산,1913894292,1138830000,139300000
투자부동산,21381329753,18679667491,23679196273
유형자산,303202778704,223590973642,212553707913
무형자산,24913566088,2978455062,3355889228
사용권자산,6177776229,7070440594,7973480309
순확정급여자산,,13030163,
기타비유동자산,2319147969,4558569434,3406208561
자산총계,718904136635,565587169489,501838762940
부채,,,
유동부채,340137477914,317923054910,245905945678
매입채무,25705561538,26691263520,17536225884
기타유동지급채무,27832035721,27249240121,30013132658
기타유동금융부채,215387294,969809821,16312500
단기차입금,188021452296,209641171003,136824695756
단기사채,,20000000000,10000000000
유동성장기부채,80122849643,20481604664,36433315500
당기법인세부채,9596630563,5098242180,9878362938
충당부채,3976785833,3154963000,3246953522
단기리스부채,1407722286,1178036343,1216994808
기타 유동부채,3259052740,3458724258,739952112
비유동부채,97591447833,107920686970,82572420812
장기차입금,37632726955,44155428008,37107496000
장기사채,45000000000,50000000000,30000000000
순확정급여부채,1372705209,225412203,1093906437
장기충당부채,835554076,3366639497,3192764838
장기리스부채,2538051530,3346762741,3975300225
이연법인세부채,9935422229,6590473842,6995138539
기타비유동지급채무,245000000,200000000,163000000
기타비유동부채,31987834,35970679,44814773
부채총계,437728925747,425843741880,328478366490
자본,,,
지배기업의 소유주에게 귀속되는 자본,277355153825,139466766373,168204821579
보통주자본금,2930702000,2477552000,2477552000
우선주자본금,1722448000,1722448000,1722448000
자본잉여금,86733679785,320516085,320516085
기타자본구성요소,"(213,939,592)","(213,939,592)","(289,423,824)"
기타포괄손익누계액,55978444247,43740805399,43867107991
이익잉여금,130203819385,91419384481,120106621327
비지배지분,3820057063,276661236,5155574871
자본총계,281175210888,139743427609,173360396450
자본과부채총계,718904136635,565587169489,501838762940
